,年份,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
0,2018 (134),神秘的“Roma225”运动,2018-12-27,YOROI,网络钓鱼邮件,暂无数据,Cybaze-Yoroi ZLab的研究人员调查了最近针对意大利汽车行业公司武器化的间谍恶意软件植入物。恶意软件通过写得很好的网络钓鱼电子邮件传播，试图模仿巴西一家主要商业律师事务所的高级合伙人：“ Veirano Advogados ”。
1,2018 (134),URSNIF，EMOTET，DRIDEX和BitPaymer帮派由类似的加载器链接,2018-12-18,TrendMicro,暂无数据,暂无数据,随着勒索软件和银行特洛伊木马以其破坏性的惯例俘获了世界的利益和利润，网络安全从业者多次在线和离线发布 网络犯罪分子如何通过信息交换和带状专业组织划分他们的计划。
2,2018 (134),Shamoon 3针对石油和天然气组织,2018-12-13,paloalto,恶意软件,暂无数据,根据新闻稿，Saipem证实他们经历了一次涉及Shamoon恶意软件变种的网络攻击。攻击导致基础设施和数据可用性问题，迫使组织开展恢复活动。Saipem告诉路透社，他们网络上的300个系统因与2012年Shamoon攻击有关的恶意软件而瘫痪。虽然我们无法明确确认Saipem是受影响的组织，但本次博客中讨论的Disttrack示例的出现导致此事件发生的时机非常巧合。
3,2018 (134),迷人小猫的回归,2018-12-13,CERTFA,网络钓鱼,暂无数据,网络钓鱼攻击是伊朗国家支持的黑客用来获取账户的最常见的渗透形式。Certfa回顾了最新的网络钓鱼攻击活动，该攻击已被执行并被称为“迷人小猫的归来”。
4,2018 (134),Sharpshooter行动,2018-12-12,McAfee,恶意软件,暂无数据,迈克菲®高级威胁研究团队，迈克菲实验室的恶意软件操作集团采用迈克菲®全球威胁智能感知系统，发现了一种新的全球针对核，国防，能源和金融公司的活动。
5,2018 (134),Donot（APT-C-35）组织对在华巴基斯坦商务人士的定向攻击活动分析,2018-12-12,奇安信,邮件钓鱼攻击,DonotAPT-C-35肚脑虫,近期，360威胁情报中心协助用户处理了多起非常有针对性的邮件钓鱼攻击事件，被攻击目标包括中国境内的巴基斯坦重要商务人士，该轮攻击活动最早发生在2018年5月，攻击者对目标机器进行了长时间的控制。360威胁情报中心在本文中对本次的钓鱼攻击活动的过程与技术细节进行揭露，希望相关组织和个人能够引起足够重视并采取必要的应对措施。
6,2018 (134),捅熊：三年运动瞄准俄罗斯关键基础设施,2018-12-11,THREATVECTOR,网络钓鱼,暂无数据,我们在过去几年中了解到的关于俄罗斯石油公司的一切 - 它作为关键基础设施的地位，其私有化涉及的巨额资金，国内和国际政治意义 - 使其成为外国间谍活动的极有可能和合法的目标。
7,2018 (134),新的基于PowerShell的后门在土耳其发现，与MuddyWater工具惊人相似,2018-11-30,TrendMicro,鱼叉式网络钓鱼,MuddyWater,自2017年Malwarebytes最初报道他们对沙特阿拉伯政府进行精心的间谍攻击以来，该组织已经非常明显。在第一份报告之后，其他安全公司对它们进行了广泛的分析。通过这一切，我们只看到他们使用的工具，技术和程序（TTP）的微小变化。
8,2018 (134),蔓灵花（BITTER）APT组织使用InPage软件漏洞针对巴基斯坦的攻击及团伙关联分析,2018-11-29,奇安信,CVE-2018-0798CVE-2017-12824,BITTERBITTER蔓灵花蔓灵花,近期，360威胁情报中心监控到一系列针对巴基斯坦地区的定向攻击活动，而相关的恶意程序主要利用包含了InPage文字处理软件漏洞CVE-2017-12824的诱饵文档（.inp）进行投递，除此之外，攻击活动中还使用了Office CVE-2018-0798漏洞利用文档。
9,2018 (134),Windows Defender ATP设备风险评分暴露出新的网络攻击，驱动器有条件地访问以保护网络,2018-11-28,MicroSoft,CVE-2018-0802恶意软件,APT23Tropic Trooper,几周前，Windows Defender高级威胁防护（Windows Defender ATP）团队发现了针对亚洲能源和食品饮料行业几个知名组织的新网络攻击。鉴于目标区域和纵向，攻击链以及所使用的工具集，我们认为该行业称为Tropic Trooper的威胁行为者可能是攻击的背后。
10,2018 (134),黎巴嫩和阿曼的MuddyWater行动,2018-11-28,Clearsky,鱼叉式网络钓鱼,MuddyWater,MuddyWater是一名自2017年以来一直活跃的伊朗高调威胁演员。该集团以在中东的间谍活动而闻名。在过去一年中，我们看到该组织广泛针对各个领域的各种实体，包括政府，学院，加密货币，电信和石油部门。
11,2018 (134),DNSpionage Campaign旨在瞄准中东,2018-11-27,Talos,恶意软件,暂无数据,思科Talos最近发现了一个针对黎巴嫩和阿拉伯联合酋长国（阿联酋）的新活动，影响.gov域名，以及一家私营的黎巴嫩航空公司。根据我们的研究，很明显，这个对手花了很多时间来理解受害者的网络基础设施，以便在他们的攻击中保持警惕并尽可能不显眼。
12,2018 (134),Olympic Destroyer新变种，Hades为其幕后黑手,2018-11-21,Check Point,暂无数据,,最近，Checkpoint发现了Olympic Destroyer的新变种，该恶意软件是早些时候针对韩国冬季奥运会部署的恶意软件。Hades APT组织被认为是Olympic Destroyer恶意软件背后的开发者和传播者。新的变种最早于10月在乌克兰发现，该恶意软件使用的代码类似于之前Hades的droppers所使用的代码。该恶意软件还包含反分析和延迟执行功能。Hades的dropper的一个常见做法是使用受损服务器作为第二阶段C2。尽管对Hades的基础设施知之甚少，但是一些联系他们的C2的dropper暴露了一些服务器错误。这些错误表明受感染的服务器仅充当代理，并且请求实际上被重定向到托管Empire后端的另一个服务器。
