,国家,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
0,中国 (63),伪冒银行木马“BYL”持续入侵,2020/12/21,奇安信,"['木马病毒', '网络钓鱼']",暂无数据,2020年10月，奇安信威胁情报中心移动安全团队发布报告首次揭露了一个伪冒国内银行应用的的信息窃取木马新家族”BYL”。 2020年12月12日，奇安信威胁情报中心移动安全团队发现到攻击者开始更换网络资产展开新一轮传播，通过奇安信数据监测雷达我们发现到该木马家族短短四天（截至到2020年12月16日）国内影响量级已为千级，为避免更多用户个人财产受到损失，我们对其再次披露。
1,中国 (63),阻击APT：奇安信QOWL引擎挫败BITTER针对国内政企的定向攻击,2020/12/2,奇安信,['恶意软件'],BITTERBITTER蔓灵花蔓灵花,蔓灵花（BITTER）是疑似具有南亚背景的APT组织，该组织长期针对中国，巴基斯坦等国家进行攻击活动，主要针对政府、军工业、电力、核能等单位进行定向攻击，窃取敏感资料。 近日，搭载了奇安信威胁情报中心自主研发反病毒引擎QOWL的奇安信安全终端“天擎”成功阻断蔓灵花组织针对国内企业的定向攻击活动，在此次攻击活动中，该组织依旧使用了其常用的攻击手法，企图释放执行其常用的下载者进行恶意软件部署，但被QOWL杀毒引擎成功拦截。
2,中国 (63),响尾蛇组织近期针对我国特定机构的APT攻击活动披露,2020/11/19,360,"['钓鱼邮件', 'CVE', ' ', '2017', '-', '0199CVE', ' ', '2017', '-', '11882']",T-APT-04响尾蛇,研究人员发现，今年11月份开始，响尾蛇（SideWinder）组织针对中国的攻击又开始活跃。该组织通过微信、邮件等途径针对中国国内特定机构投递诱饵文档发起攻击，目标涉及外交等特定政府机构。在近期针对中国的攻击活动中，使用的攻击链较为复杂，相关的漏洞文档使用了双重漏洞构造。 主要攻击流程：通过钓鱼邮件或微信投递CVE 2017-0199漏洞文档主体；利用CVE-2017-0199漏洞文档再远程加载CVE 2017-11882漏洞文档；通过CVE 2017-11882漏洞文档释放并执行恶意的js脚本；利用js脚本在内存反射加载.Net模块，安装后门程序。
3,中国 (63),蔓灵花APT组织最新攻击事件分析,2020/9/1,安恒信息,['恶意软件'],BITTERBITTER蔓灵花蔓灵花,“蔓灵花”又名“BITTER”，一个长期针对中国及巴基斯坦的政府、军工、电力、核等部门发动网络攻击，窃取敏感资料，具有较强的政治背景的APT组织。 近期，安恒披露该组织近期的攻击活动，在此次攻击活动中，蔓灵花组织依旧采用常用的后门进行信息窃取，不过，研究人员也发现了一个变种DLL，在该dll文件中，用于对比服务器返回字符串对比的字符是某印度女星的名字，由此可见，攻击者对印度应该较为熟悉。
4,中国 (63),Darkhotel（APT-C-06）组织利用Thinmon后门框架的多起攻击活动揭秘,2020/8/25,360,"['漏洞利用', '后门']",DarkhotelDarkhotelAPT-C-06,2020年3月期间，360安全大脑发现并披露了涉半岛地区APT组织Darkhotel（APT-C-06）利用VPN软件漏洞攻击我国政府机构和驻外机构的APT攻击行动。在攻击行动中Darkhotel（APT-C-06）组织使用了一系列新型的后门框架，该后门程序未被外界披露和定义过，360高级威胁研究院根据攻击组件的文件名将其命名为“Thinmon”后门框架。通过对Darkhotel（APT-C-06）组织利用“Thinmon”后门框架实施攻击活动的追踪，发现该组织最早从2017年就开始利用该后门框架实施了长达三年时间的一系列攻击活动，其攻击意图主要在于长期监控和窃取机密文件，受害者主要集中在我国华北和沿海地区，被攻击目标主要包括政府机构、新闻媒体、大型国企、外贸企业等行业，占比最大的为外贸及涉外机构。在这三年多的时间内，该组织不断更新后门框架，持续对目标发起攻击。
5,中国 (63),Moobot僵尸网络发起DDoS攻击活动，影响3k多域名,2020/7/9,360,"['木马后门', '僵尸网络', '漏洞利用', ':', 'CVE', '-', '2020', '-', '8515', '漏洞利用', ':', 'CVE', '-', '2017', '-', '17215', '漏洞利用', ':', 'CVE', '-', '2014', '-', '8361', '漏洞利用', ':', 'CVE', '-', '2020', '-', '5722', '漏洞利用', ':', 'CVE', '-', '2017', '-', '8225']",暂无数据,Moobot样本主要通过Telnet弱口令和利用Nday、0day漏洞(包括CVE-2020-8515、CVE-2017-17215、CVE-2014-8361、CVE-2020-5722、CVE-2017-8225等)传播，最近发现Moobot僵尸网络参加了一次重大的DDoS攻击活动，影响了至少3k以上域名。其通常使用DNS TXT存储C2/手动构建DNS TXT请求、使用新的UPX幻数进行加壳、使用码表替换的加密方法的隐藏敏感资源、使用SOCKS PROXY，TOR PROXY。在2020年1月起活跃至今的名为Moobot_xor的变种中，只修改了上线协议。Moobot_xor采用Mirai经典的Xor加解密方法，key为0DEADBEEFh。Mobot_xor在Mirai通信协议的基础上做了微小的修改。Moobot，其攻击活动从未停止过。根据观察，其日活C2始终保持个位数，但是C2存活时间较长。攻击目标遍布全球，每日攻击目标100个左右。Moobot的攻击目标遍布全球，被攻击的目标主要分布在中国，美国，德国，俄罗斯等地。
6,中国 (63),SWEED黑客组织近期动态，针对外贸企业,2020/7/3,启明星辰,"['鱼叉', '式', '网络钓鱼', '电子邮件', '木马后门']",SWEED,"近期，启明星辰ADLab捕获到大量针对全球制造、运输、能源等行业及部分医疗机构发起的鱼叉式钓鱼邮件定向攻击。从邮件的分析结果来看，受害者大多遍布于美国、加拿大、德国、中国、英国、法国、西班牙等国家和地区。攻击者以""装船通知单""、""装箱交货价单""、""紧急运输文件""等主题邮件作为诱饵向攻击目标植入信息窃密木马(Agent Tesla、Formbook、Lokibot)和远程控制程序(NanoCore、Remcos)。通过溯源分析确定此次攻击活动来自尼日利亚，并且关联出了大批量的黑恶意域名(攻击者使用境外的Duck DNS注册动态域名)和IP地址。通过追踪攻击者使用的网络基础设施，发现此次攻击活动最早可追溯到2020年1月。攻击者的攻击动机、攻击目标、作业风格与SWEED黑客组织极为相似，他们还有着相似的攻击习惯，并使用相同窃密木马程序，以及同样风格的C&amp;C地址。因此，研究人员认为这批攻击背后应该就是SWEED黑客组织。攻击者的重点目标为从事对外贸易的中小型企业，其目的是通过植入特定的后门以实现对目标计算机进行信息收集和长期监控，并为接下来的横向移动攻击提供基础。"
7,中国 (63),FakeSpy伪装成邮政服务应用程序，窃取安卓用户信息,2020/7/1,cybereason,"['钓鱼攻击', '木马后门']",暂无数据,"国外研究人员最近发现FakeSpy的新活动。FakeSpy是一种信息窃取工具，用于窃取、发送SMS消息，窃取财务数据，读取帐户信息和联系人列表，窃取应用程序数据等。FakeSpy最初针对韩国和日本用户，现在已开始瞄准全世界，尤其是中国，法国，瑞士，德国，英国，美国等国家/地区的用户。活动中FakeSpy主要伪装成邮局SMS消息，引导用户点击消息中的链接，从而下载了伪装成合法的邮政服务应用程序或运输服务的FakeSpy恶意软件。所有最新的FakeSpy版本都包含相同的代码，但有少量更改。安装后，该应用程序会请求权限，以便可以控制SMS消息并窃取设备上的敏感数据，并扩散到目标设备的联系人列表中的其他设备。调查表明，FakeSpy行动的幕后威胁者是一个华语团体，名为""Romaning Mantis""。"
8,中国 (63),黑客组织APT15活跃，使用四种Android监控软件,2020/7/1,Lookout,['木马后门'],Ke3ChangAPT15,Lookout研究人员发现了四个独立的恶意软件家族，每个家族都有自己独特的数据收集重点和技术，并将之命名为SilkBean、DoubleAgent、CarbonSteal和GoldenEagle。这些应用程序的主要目的是收集和回传个人用户数据到命令和控制服务器。这些监控软件还依靠已知的恶意软件家族，如HenBox、PluginPhantom、Spywaller和Darth Pusher来辅助其监控行动。研究发现最早的攻击活动可以追溯到2013年，目标主要是中国和世界各地的维吾尔族人，但也包括藏族人和可能更广泛的穆斯林社区。DoubleAgent、GoldenEagle和SilkBean的样本共享C2基础设施，表明部署这些恶意软件工具的背后是同一个攻击组织。值得注意的是，黑客组织GREF的基础设施被发现与CarbonSteal样本直接相关。在过去的公开报道中，GREF还被称为APT15、Ke3chang、Mirage、Vixen Panda和Playful Dragon。
9,中国 (63),海莲花APT组织最新样本分析,2020/6/17,Malwarebytes LABS,"['社会工程学', '鱼叉', '攻击', '木马后门', '水坑攻击']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,OceanLotus(海莲花)APT组织是一个长期针对中国及其他东亚、东南亚国家(地区)政府、科研机构、海运企业等领域进行攻击的APT组织，该组织也是针对中国境内的最活跃的APT组织之一，该组织主要通过鱼叉攻击和水坑攻击等方法，配合多种社会工程学手段进行渗透，向境内特定目标人群传播特种木马程序，秘密控制部分政府人员、外包商和行业专家的电脑系统，窃取系统中相关领域的机密资料，通过追踪它这些年的攻击手法和攻击目标，OceanLotus很有可能是具有国外政府支持背景的、高度组织化的、专业化的境外国家级黑客组织 初期的OceanLotus特种木马技术并不复杂，容易发现和查杀，2014年OceanLotus特种木马开始采用包括文件伪装、随机加密和自我销毁等一系列复杂的攻击技术与安全软件进行对抗，随后OceanLotus特种木马又开始转向云控技术，攻击的危险性、不确定性与木马识别查杀的难度都大大增强 OceanLotus(海莲花) APT组织擅长使用鱼叉攻击和水坑攻击，NSA武器库曝光后，还使用了永恒系列漏洞进行攻击，投递的攻击武器种类比较多，RTA包括：Denis、CobaltStrike、PHOREAL、salgorea、类gh0st、Ratsnif等。
10,中国 (63),APT32利用疫情信息针对武汉政府和中国应急管理部门的攻击活动,2020/4/22,FireEye,"['鱼叉', '式', '网络钓鱼', '电子邮件']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotus,Fireeye Mandiant 威胁情报团队称，自2020年1月至今，疑似海莲花（APT32）组织对中国政府相关机构进行了入侵活动，攻击者将鱼叉式网络钓鱼邮件发送给了中国紧急情况管理部以及武汉市政府，Mandiant 认为此攻击活动是为了收集COVID-19相关的情报信息。 第一起已知的攻击活动发生在2020年1月6日，攻击者将主题为“办公设备招标第一季度结果报告”的电子邮件发送给中国紧急情况管理部门，并在邮件中插入探针，一旦受害者打开邮件，该探针将向远程发送受害者的电子邮件地址。 Mandiant 还发现海莲花以COVID-19为诱饵针对中国，该诱饵文档名为“COVID-19实时更新：中国目前正在追踪所有来自湖北省的旅行者”，该诱饵文档打开后将在受害者计算机中执行shellcode以收集计算机名，用户名。最终将加载METALJACK有效载荷从而控制受害者计算机。
11,中国 (63),MMCore针对南亚地区的APT攻击活动分析,2020/4/17,腾讯,['暂无数据'],ConfuciusBITTERBITTER蔓灵花蔓灵花Dropping ElephantDropping ElephantAPT-C-09白象 摩诃草幼象,MMCore针对南亚地区的APT攻击活动分析，MMCore是一款有趣的恶意文件，为下载器下载后在内存中解密执行的一个恶意文件。该恶意文件也被称为BaneChant，最早由fireeye在2013年曝光。此外Forcepoint也在2017年初曝光过而恶意文件的一些攻击活动。 该恶意文件的活动，主要活跃在亚洲地区，包括中国、巴基斯坦、阿富汗、尼泊尔等。不过Forcepoint也提到该攻击活动也包含非洲和美国。攻击的目标主要为军事目标、媒体、大学等。
12,中国 (63),黑客利用深信服SSL VPN攻击，如何快速排查？,2020/4/6,微步在线,"['恶意代码', '远程控制']",暂无数据,https://mp.weixin.qq.com/s/alZhIDrw8vyqO0L5zO-iJQ
13,中国 (63),近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,2020/3/28,腾讯,"['恶意脚本', '木马后门', ',', '勒索软件', '钓鱼邮件']",APT32APT32海莲花APT-C-00Ocean LotusCobalt KittySeaLotusTA505BITTERBITTER蔓灵花蔓灵花KimsukyTransparentTribe,目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
