,报告标题,APT组织,披露时间,披露机构,攻击方法,报告摘要
0,黑客组织APT15活跃，使用四种Android监控软件,Ke3Chang (4),2020-07-01,Lookout,木马后门,Lookout研究人员发现了四个独立的恶意软件家族，每个家族都有自己独特的数据收集重点和技术，并将之命名为SilkBean、DoubleAgent、CarbonSteal和GoldenEagle。这些应用程序的主要目的是收集和回传个人用户数据到命令和控制服务器。这些监控软件还依靠已知的恶意软件家族，如HenBox、PluginPhantom、Spywaller和Darth Pusher来辅助其监控行动。研究发现最早的攻击活动可以追溯到2013年，目标主要是中国和世界各地的维吾尔族人，但也包括藏族人和可能更广泛的穆斯林社区。DoubleAgent、GoldenEagle和SilkBean的样本共享C2基础设施，表明部署这些恶意软件工具的背后是同一个攻击组织。值得注意的是，黑客组织GREF的基础设施被发现与CarbonSteal样本直接相关。在过去的公开报道中，GREF还被称为APT15、Ke3chang、Mirage、Vixen Panda和Playful Dragon。
1,MirageFox：APT15使用基于Old Ones的新工具重新浮出水面,Ke3Chang (4),2018-06-14,INTEZER,恶意软件,巧合的是，在最近美国海军承包商的黑客行为和潜在战争中高度敏感的数据被盗后，我们发现了一个被称为APT15的团体近期的活动证据，该团体以进行网络间谍活动而闻名，据信这与网络间谍有关。
2,APT15充满活力：对RoyalCli和RoyalDNS的分析,Ke3Chang (4),2018-03-09,NCC Group,木马后门,在我们对折衷方案的分析中，我们确定了现在似乎是APT15工具集的一部分的新后门。传统上由集团使用的后门BS2005现在与额外的后门RoyalCli和RoyalDNS一起出现。
3,“Ke3chang”行动针对外交部进行针对性攻击,Ke3Chang (4),2013-12-12,FireEye,C&C鱼叉攻击,欧洲外交部已被威胁实施者Ke3chang作为目标，并成功入侵。本次攻击利用叙利亚危机作为诱饵，进行恶意软件的植入。而此次攻击，正处于俄罗斯G20会议期间，叙利亚危机正是会议主要关注的国际事项。文中主要展示了自2010年起，Ke3chang进行的关于G20发起的多次攻击，并提供相关技术指标。
4,多个中国威胁组利用自2018年末以来的CVE-2018-0798公式编辑器漏洞,KeyBoy (2),2019-07-03,Anomali,CVE-2018-0798,在Anomali威胁研究员追踪“皇家之路”富文本格式（RTF）武器器的过程中，多个中国威胁组织通常使用它来利用CVE-2017-11882和CVE-2018-0802，发现多个中国威胁组织更新了他们的武器工具利用2018年末的Microsoft公式编辑器（EE）漏洞CVE-2018-0798。我们认为这些组移动使用CVE-2018-0798而不是其他Microsoft公式编辑器远程执行代码执行（RCE）漏洞，因为前者更多可靠，因为它适用于所有已知版本的公式编辑器。
5,Tropic Trooper组织攻击的新方法分析,KeyBoy (2),2018-03-14,TrendMicro,后门木马鱼叉式钓鱼攻击漏洞利用,Tropic Trooper 主要以台湾、菲律宾和香港为目标，攻击活动集中在政府、医疗、交通和高科技产业。该组织开发自己的网络应用工具，在最近的活动中对这些工具进行了不断技术更新。本文主要对该组织及其工具新的行为特征进行分析说明。
6,美国大选下的APT攻击：Kimsuky以选举结果预测为诱饵的攻击活动分析,Kimsuky (8),2020-11-04,奇安信,钓鱼攻击,Kimsuky，别名Mystery Baby，Baby Coin，Smoke Screen，Black Banshe。疑似具有东北亚背景，主要针对韩国，俄罗斯进行攻击活动，最早由卡巴斯基披露。韩国安全公司认为其与Group123存在部分重叠。 美国2020大选竞争激烈，也引起了全世界的关注。近日奇安信威胁情报中心红雨滴团队在日常高级威胁狩猎中，捕获东北亚地区的Kimsuky APT组织以美国大选为诱饵的攻击样本，该样本以美国总统大选预测为标题，诱导受害者点击执行，同时采用在HWP文档中嵌入VBS脚本方式，有效的绕过杀软检测，该样本在首次上传到VirusTotal时，没有杀软检测到其恶意代码。
7,朝鲜高级持续威胁焦点：Kimsuky,Kimsuky (8),2020-10-27,CISA,鱼叉式网络钓鱼社会工程学水坑攻击,"US-CERT披露截至2020年7月已发现的朝鲜APT组织Kimsuky的TTP（战术, 技术与过程）。Kimsuky可能自2012年以来一直在运营，进行全球情报收集任务。Kimsuky针对韩国、日本和美国的个人和组织开展情报收集活动，重点放在与朝鲜半岛、核政策和制裁有关的外交政策和国家安全问题上，特别针对各个领域专家、智囊团、韩国政府实体。Kimsuky采用常见的社会工程策略、鱼叉式网络钓鱼和水坑攻击，从受害者那里窃取所需信息，其中使用鱼叉式网络钓鱼获得对受害者主机或网络的初始访问权限。"
8,疑似 KimsukyAPT 组织最新攻击活动样本分析,Kimsuky (8),2020-09-04,知道创宇,钓鱼攻击木马后门,Kimsuky APT是一个长期活跃的APT攻击组织，一直针对于韩国的智囊团、政府组织、新闻组织、大学教授等等进行活动。并且该组织拥有多平台的攻击能力，载荷便捷，阶段繁多。国内研究人员发现疑似该组织最新的攻击样本，该样本为伪装为word文件图标的pe文件。其执行后生成一个伪装的doc文件，主题为韩国某学校相关的文档，起到迷惑受害者的作用。其窃取的信息包括系统临时文件，系统信息。
9,近期使用新冠疫情（COVID-19）为诱饵的APT攻击活动汇总,Kimsuky (8),2020-03-28,腾讯,"恶意脚本木马后门,勒索软件钓鱼邮件",目前，由新型冠状病毒引起的肺炎疫情（COVID-19）在全球蔓延，已有190个国家存在确诊病例，全球确诊人数已经超过43万人，死亡病例超过1.9万。中国大陆已基本控制住疫情，但在意大利、西班牙、美国等发达国家疫情仍处于爆发期，世界卫生组织已将疫情的全球风险级别确定为“非常高”。 而随着新冠病毒疫情（COVID-19）在全球蔓延，以此为主题的网络攻击事件骤然增长。其中中国大陆、意大利、韩国等国家成为黑客网络攻击的高风险地区。腾讯安全威胁情报中心自疫情爆发后，已检测到多起以新冠病毒疫情为主题的攻击活动。 攻击者大多以投递邮件的方式，构造诱饵文件欺骗用户点击，恶意文件类型多种多样，覆盖EXE、MS Office宏文档、漏洞文档、lnk文件、VBS脚本等。而攻击的背景也包括具有国家背景的专业APT组织和普通黑产组织。本文对近期发现的以新冠病毒疫情为诱饵的攻击活动加以汇总，供大家参考。在此提醒广大政企单位和个人用户，在做好疫情防控的同时，也要做好网络安全的防护工作。
