"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"162.250.145.204","54540","","spamming","apt | spamming | reputation"
"162.250.145.222","54540","","","apt"
"162.250.145.234","54540","","","apt"
"188.165.4.81","6 | 16276","","","apt"
"192.119.15.35","55081 | 55081","木马后门","僵尸木马主控端 | 木马","apt | c2 | reputation"
"192.119.15.36","55081 | 55081","","","apt"
"192.119.15.37","55081 | 55081","","","apt"
"192.119.15.38","55081 | 55081","","","apt"
"192.119.15.39","55081 | 55081","","","apt"
"192.119.15.40","55081 | 55081","","","apt"
"192.119.15.41","55081 | 55081","","","apt"
"192.119.15.42","55081 | 55081","","","apt"
"195.20.52.172","31624","","malware | phishing","apt | reputation"
"213.252.244.14","61272","","","apt"
"217.13.103.46","12301","","","apt"
"217.147.168.44","206963","","","apt"
"37.48.105.178","60781 | 60781","","","apt"
"5.187.21.70","20860 | 43082","","","apt"
"5.187.21.71","20860 | 43082","","","apt"
"5.79.127.177","60781","","","apt"
"64.251.19.214","15083","","","apt"
"64.251.19.215","15083","","","apt"
"64.251.19.216","15083","","","apt"
"64.251.19.217","15083","","","apt"
"64.251.19.231","15083","","","apt"
"64.251.19.232","15083","","","apt"
"8.26.21.117","3356 | 3356 | 3356 | 15083","","","apt"
"8.26.21.119","3356 | 3356 | 3356 | 15083","","","apt"
"8.26.21.120","3356 | 3356 | 3356 | 15083","","","apt"
"8.26.21.220","3356 | 3356 | 3356 | 15083","","","apt"
"8.26.21.221","3356 | 3356 | 3356 | 15083","","","apt"
"8.26.21.222","3356 | 3356 | 3356 | 15083","","","apt"
"8.26.21.223","3356 | 3356 | 3356 | 15083","","","apt"
"89.34.237.118","25198","","","apt"
"91.230.121.143","30860","","","apt"
"91.230.121.144","30860","","","apt"
"91.235.142.124","30860 | 30860 | 58277 | 58277","","","apt"
"91.235.142.76","30860 | 30860 | 58277 | 58277","","spamming","apt | spamming | reputation"
"95.211.191.117","60781","","","apt"
"backupnet.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"hyperservice.ddns.ne","","","","apt"
"hyperservice.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"microsoftupdated.com","","","phishing | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"mynetwork.cf","","","僵尸木马主控端","apt | reputation | c2"
"mynetwork.ddns.net","","","malware | 僵尸木马主控端","apt | reputation | c2"
"mypsh.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"mywinnetwork.ddns.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"remote-server.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"remserver.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"securityupdated.com","","","malware | phishing | 僵尸木马主控端","apt | reputation | c2"
"servhost.hopto.org","","","僵尸木马主控端","apt | reputation | c2"
"service-avant.com","","","僵尸木马主控端","apt | reputation | c2"
"srvhost.servehttp.com","","","僵尸木马主控端","apt | reputation | c2"
"svcexplores.com","","","僵尸木马主控端","apt | reputation | c2"
"update-sec.com","","","僵尸木马主控端","apt | reputation | c2"
"018360b869d8080cf5bcca1a09eb8251558378eb6479d8d89b8c80a8e2fa328c","","","","apt"
"0b3610524ff6f67c59281dbf4a24a6e8753b965c15742c8a98c11ad9171e783d","","","","apt"
"367e78852134ef488ecf6862e71f70a3b10653e642bda3df00dd012c4e130330","","","","apt"
"5798aefb07e12a942672a60c2be101dc26b01485616713e8be1f68b321747f2f","","","","apt"
"6401abe9b6e90411dc48ffc863c40c9d9b073590a8014fe1b0e6c2ecab2f7e18","","","","apt"
"709df1bbd0a5b15e8f205b2854204e8caf63f78203e3b595e0e66c918ec23951","","","","apt"
"87e2cf4aa266212aa8cf1b1c98ae905c7bac40a6fc21b8e821ffe88cf9234586","","","","apt"
"94526e2d1aca581121bd79a699a3bf5e4d91a4f285c8ef5ab2ab6e9e44783997","","","","apt"
"99c1228d15e9a7693d67c4cb173eaec61bdb3e3efdd41ee38b941e733c7104f8","","","","apt"
"a23c182349f17398076360b2cb72e81e5e23589351d3a6af59a27e1d552e1ec0","","","","apt"
"a67461a0c14fc1528ad83b9bd874f53b7616cfed99656442fb4d9cdd7d09e449",""," | "," | 后门","apt"
"ae1d75a5f87421953372e79c081e4b0a929f65841ed5ea0d380b6289e4a6b565","","","","apt"
"af41e9e058e0a5656f457ad4425a299481916b6cf5e443091c7a6b15ea5b3db3","","","","apt"
"bf9c589de55f7496ff14187b1b5e068bd104396c23418a18954db61450d21bab","","","","apt"
"c7a2559f0e134cafbfc27781acc51217127a7739c67c40135be44f23b3f9d77b","","","","apt"
"d5262f1bc42d7d5d0ebedadd8ab90a88d562c7a90ff9b0aed1b3992ec073e2b0","","","","apt"
"dedfbc8acf1c7b49fb30af35eda5e23d3f7a202585a5efe82ea7c2a785a95f40","","","","apt"
"e999fdd6a0f5f8d1ca08cf2aef47f5ddc0ee75879c6f2c1ee23bc31fb0f26c70","","","","apt"
"ea5295868a6aef6aac9e117ef128e9de107817cc69e75f0b20648940724880f3","","","","apt"
"f2943f5e45befa52fb12748ca7171d30096e1d4fc3c365561497c618341299d5","","","鱼叉式网络钓鱼","apt | reputation"
