"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"bb.niuqudong.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"go.gengxinsys.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"kk.yaoqudong.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"my.51years.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"my.52gengxin.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"my.52years.com","","","malware | suspicious | 僵尸木马主控端 | ","apt | reputation | c2"
"ss.wanqudong.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"yun.521drive.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"http://go.gengxinsys.com/updata32.rar","","","","apt"
"http://go.gengxinsys.com/updata64.rar","","","malware | ","apt | reputation"
"http://my.51years.com/updata32.rar","","","","apt"
"http://my.51years.com/updata64.rar","","","","apt"
"http://ss.wanqudong.com/updata32.rar","","","malware | ","apt | reputation"
"http://ss.wanqudong.com/updata64.rar","","","","apt"
"0be4f2cec952c23111dcaf0207e99d75","","","","apt"
"1ee408524ee39cfe64bb38b24078ddbd","","","","apt"
"26b285540b825050d448f4d2733b94fe","","","","apt"
"3222e94a7ab05c57a7cb61dba8599e13","","","","apt"
"4b962abc70e0634ef513d7368248d33a","","","","apt"
"5aa08f0d9dded52cba84b86be163aae6","","","","apt"
"682ddf49e615e4f761a50683c64f4cde","","","","apt"
"7f91ed5adddfd410e25f6dfa96ca3b7d","","","malware | ","apt | reputation"
"b5c7ed1e848641e38ddebc048019de1d","","","","apt | reputation"
"cc15f8a996c98b7068352b456e5cd06b","","","","apt"
"cc955b583c829e509c976dcf69c6cb5a","","","malware | ","apt | reputation"
"cd3ac5a290f7612392cb3000fea2d742","","","","apt"
"f534433cca7b0d5eada187f4d5ba7ffb","","","","apt"
