"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"196.45.144.12","32860 | 32860","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"223.25.233.248","45470 | 45470 | 45470","木马后门","c2 | 僵尸木马主控端 | C&C | 木马后门 | 钓鱼攻击 | 木马","apt | c2 | reputation"
"good.myftp.org","","","僵尸木马主控端 | C&C | 木马后门 | 钓鱼攻击","apt | reputation | c2"
"xenserver.ddns.net","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"zipoo.redirectme.net","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"271e6a4d45c2817f86148ca413f97604","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"6527ba8baab0f86b0ffb6178247772c4","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"7522baef20df95eeeeafdf4efe3aac3c","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"7915aabb2e66ff14841e4ef0fbff7486","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"a3b2e34973691ad320b70248bd67fbd2","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"be765cd5723e4366d35172aaf13fad44","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
"ec519d709c0582346741fe0094208216","","","C&C | 木马后门 | 钓鱼攻击","apt | reputation"
