"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"188.241.68.144","201630","","木马后门 | 漏洞利用:CVE-2017-11882","reputation"
"37.139.29.117","14061 | 200130","","木马后门 | 漏洞利用:CVE-2017-11882","reputation"
"http://ap12.ms-update-server.net/amount.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://ap12.ms-update-server.net/cart.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://ap12.ms-update-server.net/checkout.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://fb-dn.net/disrt/fin.hta",""," | SideWinder | ","malware | malware_download | hta |  | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/amount.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/cart.phpB",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/checkout.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://www.google.com.d-dns.co/includes/686a0ea5/-1/1223/da897db0/final.hta",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"204860ce22c81c6d9de763c09e989a20",""," | SideWinder | ","malware | 木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"3cd725172384297732222ef9c8f74adc",""," | SideWinder | ","malware | 木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"5343a19c618bc515ceb1695586c6c137","","","木马后门 | 漏洞利用:CVE-2017-11882 | 恶意软件","apt | reputation"
"c0f15436912d8a63dbb7150d95e6a4ee",""," | SideWinder | ","木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"dbb45a0839719312f248351e3fb9a0ae","","","木马后门 | 漏洞利用:CVE-2017-11882 | 恶意软件","apt | reputation"
"de7f526d4f60b59bb1626770f329f984",""," | SideWinder | ","木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"f03c0390d0a655450f1b10ea4057b06e","","","木马后门 | 漏洞利用:CVE-2017-11882 | 恶意软件","apt | reputation"
"fe2d78d90cea90477776a36fd8e57deb","","","木马后门 | 漏洞利用:CVE-2017-11882 | 恶意软件","apt | reputation"
