"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"http://108.61.181.207/PQP/index.php","","","","apt"
"http://108.61.181.207/PQP/PostaEstaBosta.php","","","","apt"
"http://my.vodafone.pt-new.cf/","","","","apt"
"https://auxiliogov.s3.us-east-2.amazonaws.com/formulario_emergencial_gov.msi","","","","apt"
"https://storage.googleapis.com/pt-ffox/factura_vodafone_2020xg17.msi","","","","apt"
"https://storage.googleapis.com/team-modulo/0.zip","","","","apt"
"https://storage.googleapis.com/team-modulosp/0.zip","","","","apt"
"https://storage.googleapis.com/team-modulosp/P-1-20.dll","","","","apt"
"https://storage.googleapis.com/team-modulosp/P-12-9.dll","","","","apt"
"https://transfer.sapo.pt/downloads/04032345-a9ad-4bc5-91aa-129eae12ced4/sapotransfer-5a521f8936f43qW/","","","","apt"
