"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"ap1-acl.net","","APT-04 |  | ","僵尸木马主控端 | 木马-SideWinder,T | 恶意软件 | C2","apt | reputation | c2"
"ap12.ms-update-server.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"cdn-do.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"cdn-edge.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"cdn-in.net","","","C2","apt"
"cdn-list.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"fb-dn.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"msftupdate.srv-cdn.com","","","僵尸木马主控端 | C2","apt | reputation | c2"
"pmo.cdn-load.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"reawk.net",""," | ","僵尸木马主控端 | 恶意软件 | C2","apt | reputation | c2"
"s12.cdn-apn.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"s2.cdn-edge.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"sd1-bin.net","","","僵尸木马主控端 | C2","apt | reputation | c2"
"webserv-redir.net","","","malware | suspicious | 僵尸木马主控端 | C2","apt | reputation | c2"
"www.google.com.d-dns.co","","","malware","reputation"
"http://ap12.ms-update-server.net/amount.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://ap12.ms-update-server.net/cart.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://ap12.ms-update-server.net/checkout.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://cdn-do.net/plugins/-1/7340/true/true/",""," | SideWinder","c2 |  | 恶意软件","apt | reputation | c2"
"http://cdn-edge.net/amount.php",""," | SideWinder"," | 恶意软件","apt"
"http://cdn-edge.net/cart.php",""," | SideWinder"," | 恶意软件","apt"
"http://cdn-edge.net/checkout.php",""," | SideWinder"," | 恶意软件","apt"
"http://cdn-in.net/includes/b7199e61/-1/7384/35955a61/final","","","","apt"
"http://cdn-in.net/plugins/-1/7384/true/true/","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/1","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/10","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/2","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/3","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/4","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/5","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/6","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/7","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/8","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/9","","","","apt"
"http://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/134/7e711ada/res/css/v4.0.30319","","","","apt"
"http://cdn-list.net/KOmJg2XSthl3PRhXnB6xT6Wo967B1n5uGf7SfiBC/-1/7340/b729d30c/css",""," | SideWinder"," | 恶意软件","apt"
"http://fb-dn.net/disrt/fin.hta",""," | SideWinder | ","malware | malware_download | hta |  | 恶意软件 | c2","apt | reputation"
"http://pmo.cdn-load.net/cgi/5ed0655734/-1/1078/d70cc726/file.hta",""," | SideWinder"," | 恶意软件","apt"
"http://s12.cdn-apn.net/amount.php",""," | SideWinder"," | 恶意软件","apt"
"http://s12.cdn-apn.net/cart.php",""," | SideWinder"," | 恶意软件","apt"
"http://s12.cdn-apn.net/checkout.php",""," | SideWinder"," | 恶意软件","apt"
"http://s2.cdn-edge.net/amount.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/cart.phpB",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/checkout.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://webserv-redir.net/includes/b7199e61/-1/5272/fdbfcfc1/final",""," | SideWinder","malware | exe |  | 恶意软件","apt | reputation"
"http://webserv-redir.net/plugins/-1/5272/true/true/",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"http://webserv-redir.net/plugins/-1/5272/true/true/done",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"http://www.google.com.d-dns.co/includes/686a0ea5/-1/1223/da897db0/final.hta",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"https://cdn-list.net/1SdYMUrbdAfpgSt3Gv13U8Jca6qOvI4I2Fa1zSCT/-1/7384/43e2a8fa/css","","","","apt"
"https://msftupdate.srv-cdn.com/cdne/plds/zoxr4yr5KV.hta",""," | SideWinder"," | 恶意软件","apt"
"https://msftupdate.srv-cdn.com/fin.hta",""," | SideWinder"," | 恶意软件","apt"
"https://www.sd1-bin.net/images/2B717E98/-1/12571/4C7947EC/main.file.rtf","","","","apt"
"032D584F6C01CC184BF07CDEC713E74D","","","malware | ","apt | reputation"
"16E561159EE145008635C52A931B26C8","","","","apt"
"1B11A5DD12BB6EC1A0655836D97F9DD7",""," | "," | 资源偷窃","apt"
"1FE3D9722DB28C2F3291FF176B989C46","","","malware | ","apt | reputation"
"204860CE22C81C6D9DE763C09E989A20",""," | SideWinder | ","malware | 木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"21CC890116ADCF092D5A112716B6A55F","","","","apt"
"29325CDBDE5E0CF60D277AA2D9BA4537",""," | SideWinder"," | 恶意软件","apt"
"2CB633375A5965F86360E761363D9F2F",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"2D9655C659970145AB3F2D74BB411C5D","","","","apt"
"358450E19D38DB77C236F45881DCEBEF",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"361DFD8F299DD80546BCE71D156BC78E",""," | "," | 资源偷窃","apt"
"3CD725172384297732222EF9C8F74ADC",""," | SideWinder | ","malware | 木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"3EE30A5CAC2BEF034767E159865683DF","","","","apt"
"423194B0243870E8C82B35E5298AD7D7","","","","apt"
"444438F4CE76156CEC1788392F887DA6",""," | SideWinder"," | 恶意软件","apt"
"4513F65BDF6976E93AA31B7A37DBB8B6","","","","apt"
"52FA30AC4EDC4C973A0A84F2E93F2432","","","","apt"
"58B5A823C2D3812A66BBF4A1EBC497D3",""," | "," | 资源偷窃","apt"
"5CD406E886BD9444ADEE4E8B62AA56CC",""," | SideWinder"," | 恶意软件","apt"
"5E98EA66670FA34BF67054FB8A41979C",""," | "," | 资源偷窃","apt"
"62606C6CFF3867A582F9B31B018DFEA5","","","malware | ","apt | reputation"
"65F66BC372EA1F372A8735E9862095DA",""," | "," | 资源偷窃","apt"
"737F3AD2C727C7B42268BCACD00F8C66","","","","apt"
"7E23C62A81D2BFB90EF73047E170DEA8",""," | "," | 资源偷窃","apt"
"81F9EB617A2176FF0E561E34EF9FF503","","","","apt"
"836419A7A4675D51D006D4CB9102AF9C",""," | SideWinder"," | 恶意软件","apt"
"8DA5206BACACD5C8B316C910E214257F",""," | "," | 资源偷窃","apt"
"9B1D0537D0734F1DDB53C5567F5D7AB5","","","","apt"
"A1CA53EFDA160B31EBF07D8553586264",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"B956496C28306C906FDDF08DED1CDF65",""," | SideWinder"," | 恶意软件","apt"
"C0F15436912D8A63DBB7150D95E6A4EE",""," | SideWinder | ","木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"C986635C40764F10BCEBE280B05EFE8C",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"CE53ED2A093BBD788D49491851BABFFD","","","","apt"
"D1C3FA000154DBCCD6E5485A10550A29",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"D2522E45C0B0D83DDDD3FCC51862D48C",""," | SideWinder"," | 恶意软件","apt"
"DE7F526D4F60B59BB1626770F329F984",""," | SideWinder | ","木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"FB362FE18C3A0A150754A7A1AB068F1E","","","","apt"
"FF9D14B83F358A7A5BE77AF45A10D5A2","","","","apt"
