"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"account.daum.unikftc.kr","","","","apt"
"account.daum.unikortv.com","","","","apt"
"account.daurn.pe.hu","","","","apt"
"amberalexander.ghtdev.com","","","","apt"
"beyondparallel.sslport.work","","","","apt"
"Bigfile.pe.hu","","","","apt"
"Cdaum.pe.hu","","","","apt"
"cloudmail.cloud","","","","apt"
"cloudnaver.com","","","","apt"
"coinone.co.in","","","","apt"
"com-download.work","","","","apt"
"com-option.work","","","","apt"
"com-ssl.work","","","","apt"
"com-sslnet.work","","","","apt"
"com-vps.work","","","","apt"
"comment.poulsen.work","","","","apt"
"cooper.center","","","","apt"
"csnaver.com","","","","apt"
"daum.net.pl","","","","apt"
"daum.unikortv.com","","","","apt"
"daurn.org","","","","apt"
"Daurn.pe.hu","","","","apt"
"demand.poulsen.work","","","","apt"
"dept-dr.lab.hol.es","","","","apt"
"desk-top.work","","","","apt"
"downloadman06.com","","","","apt"
"dubai-1.com","","","","apt"
"eastsea.or.kr","","","","apt"
"gloole.net","","","","apt"
"help-navers.com","","","","apt"
"help.unikoreas.kr","","","","apt"
"helpnaver.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"hogy.desk-top.work","","","","apt"
"impression.poulsen.work","","","","apt"
"intemet.work","","","","apt"
"intranet.ohchr.account-protect.work","","","","apt"
"jonga.ml","","","","apt"
"jp-ssl.work","","","","apt"
"kooo.gq","","","","apt"
"loadmanager07.com","","","","apt"
"login.bignaver.com","","","","apt"
"login.daum.kcrct.ml","","","","apt"
"login.daum.net-accounts.info","","","","apt"
"login.daum.unikortv.com","","","","apt"
"login.outlook.kcrct.ml","","","","apt"
"mail.unifsc.com","","","","apt"
"mailsnaver.com","","","","apt"
"member-authorize.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"member.daum.uniex.kr","","","","apt"
"member.daum.unikortv.com","","","","apt"
"member.navier.pe.hu","","","","apt"
"myaccount.nkaac.net","","","","apt"
"myaccounts.gmail.kr-infos.com","","","","apt"
"myetherwallet.co.in","","","","apt"
"myetherwallet.com.mx","","","","apt"
"naver.co.in","","","","apt"
"naver.com.cm","","","","apt"
"naver.com.de","","","","apt"
"naver.com.ec","","","","apt"
"naver.com.mx","","","","apt"
"naver.com.pl","","","","apt"
"naver.com.se","","","","apt"
"naver.cx","","","","apt"
"naver.hol.es","","","","apt"
"naver.koreagov.com","","","","apt"
"naver.onegov.com","","","","apt"
"naver.pw","","","","apt"
"naver.unibok.kr","","","","apt"
"naverdns.co","","","","apt"
"net.tm.ro","","","","apt"
"nid.naver.com.se","","","","apt"
"nid.naver.corper.be","","","","apt"
"nid.naver.onektx.com","","","","apt"
"nid.naver.unibok.kr","","","","apt"
"nid.naver.unicrefia.com","","","","apt"
"nidlogin.naver.corper.be","","","","apt"
"nidnaver.email","","","","apt"
"nidnaver.net","","","","apt"
"ns.onekorea.me","","","","apt"
"nytimes.onekma.com","","","","apt"
"org-vip.work","","","","apt"
"preview.manage.org-view.work","","","","apt"
"pro-navor.com","","","","apt"
"read-hanmail.net","","","","apt"
"read-naver.com","","","","apt"
"read.tongilmoney.com","","","","apt"
"resetprofile.com","","","","apt"
"resultview.com","","","","apt"
"riaver.site","","","","apt"
"sankei.sslport.work","","","","apt"
"securetymail.com","","","","apt"
"servicenidnaver.com","","","","apt"
"smtper.cz","","","","apt"
"smtper.org",""," | ","僵尸木马主控端 |  | sinkhole","apt | reputation | c2"
"sslport.work","","","","apt"
"sslserver.work","","","","apt"
"ssltop.work","","","","apt"
"statement.poulsen.work","","","","apt"
"sts.desk-top.work","","","","apt"
"taplist.work","","","","apt"
"tiosuaking.com","","","","apt"
"top.naver.onekda.com","","","","apt"
"usernaver.com","","","","apt"
"view-hanmail.net","","","","apt"
"view-naver.com","","","","apt"
"vilene.desk-top.work","","","","apt"
"vpstop.work","","","","apt"
"webmain.work","","","","apt"
"webuserinfo.com","","","","apt"
"ww-naver.com","","","","apt"
