"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"adobe-flash-updates.org","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"adobeupgradeflash.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"analyticsbar.org","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"analyticstest.net","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"appexsrv.net","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"audiwheel.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"encoder-info.tk","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"etcrem.net","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"fastdataexchange.org","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"fsportal.net","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"generalsecurityscan.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"globalresearching.org","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"hostsvcnet.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"kiteim.org","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"lifeofmentalservice.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"liveweatherview.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"lvueton.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"meteost.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"miropc.org","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"movieultimate.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"mvband.net","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"mvtband.net","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"netcorpscanprotect.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"nethostnet.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
"newfilmts.com","","","c2 | 僵尸木马主控端 | 木马后门","apt | reputation | c2"
