"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"107.191.62.45","20473","","excel_vbs","apt | reputation"
"134.119.217.84","29066 | 29066 | 34011","","excel_vbs","apt | reputation"
"148.251.197.113","24940","","excel_vbs","apt | reputation"
"185.22.172.40","7 | 43317","","tor | excel_vbs","apt | tor | reputation"
"83.142.230.113","20860","","excel_vbs","apt | reputation"
"86.105.227.224","49335","","excel_vbs","apt | reputation"
"87.117.204.113","20860","","excel_vbs","apt | reputation"
"87.117.204.115","20860","","excel_vbs","apt | reputation"
"89.38.97.112","48095 | 49981","","excel_vbs","apt | reputation"
"89.38.97.115","48095 | 49981","","excel_vbs","apt | reputation"
"91.218.114.204","49335","","excel_vbs","apt | reputation"
"91.218.114.225","49335","","bruteforce | spamming","apt | spamming | reputation"
"92.243.95.203","8 | 30968 | 60781","","excel_vbs","apt | reputation"
"94.100.21.213","35017","","excel_vbs","apt | reputation"
"s21.win7-update.com","","","excel_vbs","apt | reputation"
"s224.win7-update.com","","","excel_vbs","apt | reputation"
"s5060.win7-update.com","","","excel_vbs","apt | reputation"
"http://wsus65432.win7-update.com","","","","apt | reputation"
