"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"136.243.195.229","24940","","","apt"
"178.32.58.182","6 | 16276","","","apt"
"181.177.59.240","264642 | 264642 | 264642","","","apt"
"185.177.59.240","44901","","","apt"
"40.112.253.185","8075","木马后门 | ","僵尸木马主控端 | 木马 | ","apt | c2 | reputation"
"46.166.151.209","43350","","","apt"
"51.255.157.110","6 | 16276","木马后门 | ","僵尸木马主控端 | 木马 | ","apt | c2 | reputation"
"51.68.200.126","6 | 16276","","","apt"
"51.89.229.215","","","","apt"
"91.109.22.53","28753","","","apt"
"bahaius.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"bailment.org","","","Spam | 僵尸木马主控端 | ","apt | reputation | c2"
"com-activities.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"com-identifier.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"com-session.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"com-verifications.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"customers-activities.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"customers-recovery.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"customers-reminder.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"document-sharing.online","","","僵尸木马主控端 | ","apt | reputation | c2"
"documentsfilesharing.cloud","","","僵尸木马主控端 | 钓鱼 | ","apt | reputation | black | c2"
"gomyfiles.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"identifier-activities.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"identifier-activities.online","","","僵尸木马主控端 | ","apt | reputation | c2"
"identity-verification-service.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"inbox-drive.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"inbox-sharif.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"magic-delivery.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"microsoftinternetsafety.net","","","僵尸木马主控端 | ","apt | reputation | c2"
"my.en-gb.home-access.online","","","","apt"
"notification-accountservice.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"recovery-services.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"recoverysuperuser.info","","","malware | phishing | 僵尸木马主控端 | ","apt | reputation | c2"
"see-us.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"smarttradingfast.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"system-services.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"telagram.net","","","僵尸木马主控端 | ","apt | reputation | c2"
"uploaddata.info","","","僵尸木马主控端 | ","apt | reputation | c2"
"verification-services.info","","","僵尸木马主控端 | ","apt | reputation | c2"
