"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"162.250.145.204","54540","","spamming","apt | spamming | reputation"
"162.250.145.234","54540","","","apt"
"188.165.4.81","6 | 16276","","","apt"
"192.119.15.35","55081 | 55081","木马后门","僵尸木马主控端 | 木马","apt | c2 | reputation"
"192.119.15.37","55081 | 55081","","","apt"
"192.119.15.39","55081 | 55081","","","apt"
"192.119.15.41","55081 | 55081","","","apt"
"195.20.52.172","31624","","malware | phishing","apt | reputation"
"204.11.56.48","40034","nymaim | suppobox | banjori | kraken | simda | vawtrak | beebone | Locky | GlobeImposter | Trojan[Backdoor].Win32.Kriskynote.ba-1 | Gh0st木马变种-cb1st | VirusWin32.Sality.aa | Trojan.Win32.FakeLPK.7cfa | Trojan.unknown.a.A6EC | Trojan.Generic_4350D | Worm.Palevo.ayal_3 | Spyware.Popuper.mp.7DE2 | ","c2 | spamming | scanner | ransomware | Distribution Site | malicious | 僵尸木马主控端 | 木马-其他 | 木马-远控 | 僵尸网络-http协议 | Ransomware | banjori | ","apt | ransomware | ransomware | c2 | black | reputation"
"213.252.244.14","61272","","","apt"
"213.252.244.144","61272","","","apt"
"217.13.103.46","12301","","","apt"
"217.147.168.44","206963","","","apt"
"37.48.105.178","60781 | 60781","","","apt"
"5.187.21.70","20860 | 43082","","","apt"
"5.187.21.71","20860 | 43082","","","apt"
"backupnet.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"fucksaudi.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"googlechromehost.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"hyperservice.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"microsoftupdated.com","","","phishing | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"mynetwork.cf","","","僵尸木马主控端","apt | reputation | c2"
"mynetwork.ddns.net","","","malware | 僵尸木马主控端","apt | reputation | c2"
"mypsh.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"mywinnetwork.ddns.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"remote-server.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"remserver.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"securityupdated.com","","","malware | phishing | 僵尸木马主控端","apt | reputation | c2"
"servhost.hopto.org","","","僵尸木马主控端","apt | reputation | c2"
"service-avant.com","","","僵尸木马主控端","apt | reputation | c2"
"srvhost.servehttp.com","","","僵尸木马主控端","apt | reputation | c2"
"svcexplores.com","","","僵尸木马主控端","apt | reputation | c2"
"teamnj.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"update-sec.com","","","僵尸木马主控端","apt | reputation | c2"
"younesadams.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"410b5f374059cc21b2c738a71957c97e4183d92580d1d48df887deece6d2f663","","","","apt"
"a217eb149b65552e3127c65c306aa521dca54959ceee89e85dd2e6e38c0d8f8b","","","","apt"
"d8e60135aecb3a2a7422c06cfb94ed9aaf1182145d1c482f84b0bd81aa5d2416","","","","apt"
"e144db21cc5f8f57aa748c0a8e4008fc34f8dd831eb2442eb35961e4cdf41f22","","","","apt"
"e2cfc91085b9b5db41c4c4297c594758dd9a0c8561ce4544da9faedd3a6b91e8","","","","apt"
