"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"141.8.192.153","35278","","","reputation"
"141.8.195.60","35278","","","reputation"
"176.57.215.22","9123","","",""
"188.225.24.161","9123","","",""
"2.59.41.5","","","",""
"bit-rnbo.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"bitclass.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"bitlocker.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"bitread.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"bitupd.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"bitvers.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"bitwork.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"brousework.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"carambol-oru.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"certificate-verif.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"const-gov.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"constructor-word.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"creative-office.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"d-o.ddns.net","","Gamaredon","c2","apt"
"document-listing.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"document-write.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"get-icons.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"inbox-office.ddns.net","","Gamaredon","c2","apt"
"internet-create.ddns.net","","Gamaredon","c2","apt"
"internetcreate.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"kavkazwork.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"korneliuswork.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"kornet-ua.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"kristo-ua.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"libre-boot.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"libre-templates.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"librebooton.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"libresoft.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"list-sert.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"lookups.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"micro-office.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"micro-set.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"military-ua.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"my-certificates.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"network-crash.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"office-constructor.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"office-crash.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"office-lite.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"office-menedgment.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"office-out.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"paparije.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"rnbo-ua.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"scr-out.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"shell-create.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"shell-sertificates.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"sv-menedgment.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"tempget.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"tempwook.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"tesla-fun.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"win-apu.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"win-gu.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"win-ss.ddns.net","","Gamaredon","c2","apt"
"wizartopen.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"word-gread.ddns.net","","Gamaredon","僵尸木马主控端 | c2","apt | reputation | c2"
"http://inbox-office.ddns.net/inbox.dot","","Gamaredon","c2","apt"
"http://ironiya.ddns.net/il.dot","","Gamaredon","c2","apt"
"http://ironiya.ddns.net/is.dot","","Gamaredon","c2","apt"
"http://kutan.ddns.net/office.dot","","Gamaredon","c2","apt"
"http://libre-templates.ddns.net/internet.dot","","Gamaredon","c2","apt"
"http://librebooton.ddns.net/booton.dot","","Gamaredon","c2","apt"
"http://micro-set.ddns.net/micro.dot","","Gamaredon","c2","apt"
"http://network-crash.ddns.net/","","Gamaredon","c2","apt"
"http://office-constructor.ddns.net/obce.dot","","Gamaredon","c2","apt"
"http://office-constructor.ddns.net/zaput.dot","","Gamaredon","malware | c2","apt | reputation"
"http://office-crash.ddns.net/crash.dot","","Gamaredon","c2","apt"
"http://office-lite.ddns.net/lite.dot","","Gamaredon","c2","apt"
"http://office-out.ddns.net/out.dot","","Gamaredon","c2","apt"
"http://officeconstructor.ddns.net/zaput.dot","","Gamaredon","c2","apt"
"http://win-apu.ddns.net/apu.dot","","Gamaredon","c2","apt"
"http://win-gu.ddns.net/gu.dot","","Gamaredon","c2","apt"
"http://win-gu.ddns.net/win.dot","","Gamaredon","c2","apt"
"http://win-ss.ddns.net/ss.dot","","Gamaredon","c2","apt"
"http://word-gread.ddns.net/gread.dot","","Gamaredon","c2","apt"
"http://yotaset.ddns.net/yota.dot","","Gamaredon","c2","apt"
"http://zariks.ddns.net/word.dot","","Gamaredon","c2","apt"
"03d46971fdf32ef2d5f647a12bfd272dd28fb58a777f025a717b6e017e64d5a3","","Gamaredon","恶意软件","apt"
"17d813f45f4cac7883fdfb6da4dc130d4d3f87eedddaa2173ce2bb824c1697ba","","Gamaredon","恶意软件","apt"
"1f185b6d28c8e87142d8fb0f8172caf56924ab1812c3dca218b7da5e01d23b54","","Gamaredon","恶意软件","apt"
"3b00f06802bfba48ba4b55dc82a26343bb599f8d3b530f1903c26ddcb3994094","","Gamaredon","恶意软件","apt"
"47723574d99719733f87e1859e80cfbd88c5c482428344593d2d025bf2108368","","Gamaredon","恶意软件","apt"
"481eee236eadf6c947857820d3af5a397caeb8c45791f0bbdd8a21f080786e75","","Gamaredon","恶意软件","apt"
"647dfdf939de6a8d9f7572c389910c8fe4b469676162e6f02e23ef79e3be4868","","Gamaredon","恶意软件","apt"
"64c6a60f51761b22b94914a6974e8478aad05b7f91ba87ddd8c1d1fb079e4249","","Gamaredon","恶意软件","apt"
"72dbd631ce620869c0f7238e93d7f6aa628773d0ffd382487157bbf8b98f275a","","Gamaredon","恶意软件","apt"
"730074e62545c3075aace0eb0d4fbb31717f0845651e990224c0ace3618e5a1b","","Gamaredon","恶意软件","apt"
"76ea98e1861c1264b340cf3748c3ec74473b04d042cd6bfda9ce51d086cb5a1a","","Gamaredon","恶意软件","apt"
"8d0c02d05b56a43d9fe2cf1e7df45d5bc2784af89226dc6403264256ba708e31","","Gamaredon","恶意软件","apt"
"9a1384868090f54630bc8615c52525a26405a208da1857facb7297d66c69b5c1","","Gamaredon","恶意软件","apt"
"b3b06267814370d32ea0ab8bd802bcaef127ad98ee41d9c805555efbd1a8b187","","Gamaredon","恶意软件","apt"
"ba962aeef2ae951306da0196301b2fe8fa1ac668400b1ea5f44a4aefb3ee5dc2","","Gamaredon","恶意软件","apt"
"bcbc916f37d20f9dfe2c747095d901791e1e4fde7b49585d77c1e1f0288aa193","","Gamaredon","恶意软件","apt"
"bf55c8d6c1ba6232fc5648831edc8de98a7ecf076ac1ba92e91b74ae573ca9b2","","Gamaredon","恶意软件","apt"
"da1291742f5bcbe2d5c44aaae4fccd86b539fa68e679f0994bb681b391c8f3ce","","Gamaredon","恶意软件","apt"
"e68001e37577a909804009dcbdfd9d25a40e0f750475922195d2649f3d207821","","Gamaredon","恶意软件","apt"
"ef05a612ebfc0954746e81b0b40f2a73e2a5d65c55373fa06cc32cf9fe92951b","","Gamaredon","恶意软件","apt"
"f071e1338464c6d05913cbef422956c8fd6863c66199e4b48cc5ca598f346a9f","","Gamaredon","恶意软件","apt"
"f8c110022c7c8d03f60d5a53cbafbe9ea2b54cdc596e31b3f8e3ff203c2733bd","","Gamaredon","恶意软件","apt"
