"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"1.188.233.201","4837","","","apt"
"1.188.236.22","4837","","","apt"
"103.255.45.200","133201","","","apt"
"122.158.140.100","4837","","","apt"
"36106g.com","","","僵尸木马主控端","apt | reputation | c2"
"cv3sa.gicp.net","","","僵尸木马主控端","apt | reputation | c2"
"kmbk8.hicp.net","","","僵尸木马主控端","apt | reputation | c2"
"sd123.eicp.net","","","僵尸木马主控端","apt | reputation | c2"
"www.36106g.com","","","","apt"
"71c94bb0944eb59cb79726b20177fb2cd84bf9b4d33b0efbe9aed58bb2b43e9c","","","","apt"
"722e5d3dcc8945f69135dc381a15b5cad9723cd11f7ea20991a3ab867d9428c7","","","","apt"
