"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"trans-can.net","","","僵尸木马主控端 | c2","apt | reputation | c2"
"trans-pre.net","","","僵尸木马主控端 | c2","apt | reputation | c2"
"https://trans-can.net/ini/Wsx8Gb5ZtTzzbdquHHtVI2sO9OQpOPRU4jOINehp/31878/1346/cab43a7f","","","c2","apt"
"https://trans-pre.net/ini/Yp80X7e02zEdb7QGITJNedljUxXzQLTJXS1yH2p6/-1/9373/72b371d9","","","c2","apt"
"2303142CE381556865AE840BE0369D47D15313BF2D3781BC4D571B32D7E4F734","","","恶意软件","apt"
"2309FD453E48241ED2305239750437DF1317A256F40B0078FC1EC64BF1C2CFDA","","","恶意软件","apt"
"4743860DA4934BE1390984467FFE02A992EB1F4FCA2A78103F61A241D779D78D","","","恶意软件","apt"
"6A4AF2CC6D7624E28058B64F84B332AD10705D2496D2258CED713724486435B7","","","恶意软件","apt"
"D3805DF8A009A88BA482687359FA63C87BAF0A216BA6464B48CADEC246241697","","","恶意软件","apt"
"D72746E3DE40977C7EEA34377A4682022FECF2D5178E843FE85FCEC5ADF4AFB5","","","恶意软件","apt"
"F5AB53A725E33D764E1C00F395CF1CF4A9E9392587CE5685E24608404AA571F2","","","恶意软件","apt"
