"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"Adobeproduct.com","","","malware | phishing | 僵尸木马主控端","apt | reputation | c2"
"cache-service.net","","","","apt"
"chrome-dns.com","","","僵尸木马主控端","apt | reputation | c2"
"fireeyeupdate.com","","","僵尸木马主控端","apt | reputation | c2"
"level3-resolvers.net","","","僵尸木马主控端","apt | reputation | c2"
"microsoft-publisher.com","","","c2 | 僵尸木马主控端 | ","apt | reputation | c2"
"Miedafire.com","","","僵尸木马主控端","apt | reputation | c2"
"Mslicensecheck.com","","","僵尸木马主控端","apt | reputation | c2"
"ntpupdateserver.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"tatavpnservices.com","","","僵尸木马主控端","apt | reputation | c2"
"3eb14b6705179590f0476d3d3cbd71665e7c1935ecac3df7b876edc9bd7641b6","","","","apt"
"52366b9ab2eb1d77ca6719a40f4779eb302dca97a832bd447abf10512dc51ed9","","","","apt"
"5ac939a5426db8614165bd8b6a02d3e8d9f167379c6ed28025bf3b37f1aea902","","","","apt"
"af4d8604d0cd09b8dc01dbafc33c6d240d356cad366f9917192a2725e0121a0d","","","","apt"
"bbfc05177e5e29b3c8c4ef0148969d07e6239140da5bff57473c32409e76c070","","","","apt"
