"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"admin.databit.today","","","","apt"
"cendata.today","","","","apt"
"cvcws.ponethus.com","","","","apt"
"nampriknum.net","","","","apt"
"shop.databit.today","","","","apt"
"somtum.today","","","","apt"
"svc.cendata.today","","","","apt"
"svc.databit.today","","","","apt"
"svc.nampriknum.net","","","","apt"
"svc.ponethus.com","","","","apt"
"svc.somtum.today","","","","apt"
"svcws.cendata.today","","","","apt"
"svcws.nampriknum.net","","","","apt"
"svcws.somtum.today","","","","apt"
"test.databit.today","","","","apt"
"webmail.ponethus.com","","","","apt"
"www.cendata.today","","","","apt"
"www.databit.today","","","","apt"
"www.nampriknum.net","","","","apt"
"www.ponethus.com","","","","apt"
"www.somtum.today","","","","apt"
"120474682ea439eb0b28274c495d9610a73d892a4b8feeff268c670570db97e2","","","","apt"
"139edb1bc033725539b117f50786f3d3362ed45845c57fe1f82e7ed72b044367","","","","apt"
"1849a50a6ac9b3eec51492745eeb14765fe2e78488d476b0336d8e41c2c581d4","","","","apt"
"27410d4019251a70d38f0635277f931fb73f67ac9f2e1f3b475ce680ebfde12a","","","","apt"
"3a45d7a16937d4108b5b48f44d72bb319be645cbe15f003dc9e77fd52f45c065","","","","apt"
"4a32ced20df7001da7d29edc31ca76e13eef0c9b355f62c44888853435e9794f","","","","apt"
"59b9809dba857c5969f23f460a2bf0a337a71622a79671066675ec0acf89c810","","","","apt"
"6e6c210535b414c5aa2dd9e67f5153feeb43a8ac8126d8e249e768f501323a3e","","","","apt"
"ac5abaebd9f516b8b389450f7d27649801d746fb14963b848f9d6dad0a505e66","","","","apt"
"d328fca14c4340fcd4a15e47562a436085e6b1bb5376b5ebd83d3e7218db64e7","","","","apt"
"e19823a1ba4a0e40cf459f4a0489fc257720cc0d71ecfb7ad94b3ca86fbd85d1","","","","apt"
"e5f346d8f312cc1f93c2c6af611e2f50805c528934786ea173cabc6a39b14cda","","","","apt"
"ed234e61849dcb95223676abe2312e1378d6130c0b00851d82cda545b946ec83","","","","apt"
