"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"http://ap12.ms-update-server.net/amount.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://ap12.ms-update-server.net/cart.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://ap12.ms-update-server.net/checkout.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://cdn-do.net/plugins/-1/7340/true/true/",""," | SideWinder","c2 |  | 恶意软件","apt | reputation | c2"
"http://cdn-edge.net/amount.php",""," | SideWinder"," | 恶意软件","apt"
"http://cdn-edge.net/cart.php",""," | SideWinder"," | 恶意软件","apt"
"http://cdn-edge.net/checkout.php",""," | SideWinder"," | 恶意软件","apt"
"http://cdn-list.net/KOmJg2XSthl3PRhXnB6xT6Wo967B1n5uGf7SfiBC/-1/7340/b729d30c/css",""," | SideWinder"," | 恶意软件","apt"
"http://fb-dn.net/disrt/fin.hta",""," | SideWinder | ","malware | malware_download | hta |  | 恶意软件 | c2","apt | reputation"
"http://pmo.cdn-load.net/cgi/5ed0655734/-1/1078/d70cc726/file.hta",""," | SideWinder"," | 恶意软件","apt"
"http://s12.cdn-apn.net/amount.php",""," | SideWinder"," | 恶意软件","apt"
"http://s12.cdn-apn.net/cart.php",""," | SideWinder"," | 恶意软件","apt"
"http://s12.cdn-apn.net/checkout.php",""," | SideWinder"," | 恶意软件","apt"
"http://s2.cdn-edge.net/amount.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/cart.phpB",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://s2.cdn-edge.net/checkout.php",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://webserv-redir.net/includes/b7199e61/-1/5272/fdbfcfc1/final",""," | SideWinder","malware | exe |  | 恶意软件","apt | reputation"
"http://webserv-redir.net/plugins/-1/5272/true/true/",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"http://webserv-redir.net/plugins/-1/5272/true/true/done",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"http://www.google.com.d-dns.co/includes/686a0ea5/-1/1223/da897db0/final.hta",""," | SideWinder | "," | 恶意软件 | c2","apt | reputation"
"http://www.nadra.gov.pk.d-dns.co/includes/686a0ea5/-1/1224/fa1b01fb/final.hta","","SideWinder","恶意软件","apt"
"https://msftupdate.srv-cdn.com/cdne/plds/zoxr4yr5KV.hta",""," | SideWinder"," | 恶意软件","apt"
"https://msftupdate.srv-cdn.com/fin.hta",""," | SideWinder"," | 恶意软件","apt"
"204860ce22c81c6d9de763c09e989a20",""," | SideWinder | ","malware | 木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"29325cdbde5e0cf60d277aa2d9ba4537",""," | SideWinder"," | 恶意软件","apt"
"2cb633375a5965f86360e761363d9f2f",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"358450e19d38db77c236f45881dcebef",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"3cd725172384297732222ef9c8f74adc",""," | SideWinder | ","malware | 木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"444438f4ce76156cec1788392f887da6",""," | SideWinder"," | 恶意软件","apt"
"5cd406e886bd9444adee4e8b62aa56cc",""," | SideWinder"," | 恶意软件","apt"
"836419a7a4675d51d006d4cb9102af9c",""," | SideWinder"," | 恶意软件","apt"
"a1ca53efda160b31ebf07d8553586264",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"b956496c28306c906fddf08ded1cdf65",""," | SideWinder"," | 恶意软件","apt"
"c0f15436912d8a63dbb7150d95e6a4ee",""," | SideWinder | ","木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
"c986635c40764f10bcebe280b05efe8c",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"d1c3fa000154dbccd6e5485a10550a29",""," | SideWinder","malware |  | 恶意软件","apt | reputation"
"d2522e45c0b0d83dddd3fcc51862d48c",""," | SideWinder"," | 恶意软件","apt"
"de7f526d4f60b59bb1626770f329f984",""," | SideWinder | ","木马后门 | 漏洞利用:CVE-2017-11882 |  | 恶意软件 | 恶意软件","apt | reputation"
