"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"103.224.212.222","133618","suppobox | simda | pykspa | Locky | GlobeImposter | Trojan.unknown.a.C640 | ","c2 | malware | phishing | scanner | ransomware | Distribution Site | Spam | 僵尸木马主控端 | digiccy | gambling | porn | 木马-其他 | Ransomware | ","apt | ransomware | spamming | ransomware | c2 | reputation"
"104.216.124.121","40676","","","apt"
"107.180.51.12","26496 | 26496","","scanner | malicious | ","apt | reputation"
"109.234.109.76","196763","Locky | ","malware | phishing | ransomware | digiccy | ","apt | ransomware | c2 | reputation"
"109.234.109.82","196763","Locky | ","malware | ransomware | digiccy | ","apt | ransomware | c2 | reputation"
"109.234.164.106","50474","","","apt"
"109.248.11.195","206440","","","apt"
"109.248.11.198","206440","","","apt"
"149.154.70.198","2 | 29182","","","apt"
"15.164.83.206","71 | 7430","Trojan.Win32.FakeLPK.7cfa | Virus.Sality.s.C8D0A | ","c2 | scanner | ransomware | 僵尸木马主控端 | 木马-其他 | 木马-远控 | ","apt | ransomware | c2 | reputation"
"150.95.219.152","7506","","","apt"
"154.195.129.85","37353","","","apt"
"162.217.99.141","29791","VirusWin32.Sality.aa | ","c2 | 僵尸木马主控端 | 木马-其他 | ","apt | c2 | reputation"
"170.178.168.203","46844","Backdoor/Win32.Hupigon.kxbl | ","c2 | scanner | ransomware | Distribution Site | 僵尸木马主控端 | 木马-远控 | ","apt | ransomware | c2 | reputation"
"172.67.134.183","","","","apt"
"173.239.5.6","27257 | 27257 | 27257","simda | pykspa | tinba | Locky | Backdoor.TDSS-2 | VirusWin32.Sality.aa | Trojan.unknown.a.C640 | Worm.Palevo.ayal_2 | Worm.Palevo.ayal_1 | ","c2 | malware | phishing | scanner | ransomware | Distribution Site | Spam | 僵尸木马主控端 | digiccy | gambling | porn | 木马-其他 | 僵尸网络-http协议 | Ransomware | simda | ","apt | ransomware | spamming | ransomware | c2 | black | reputation"
"173.239.8.164","27257 | 27257 | 27257","simda | pykspa | tinba | Locky | Backdoor.TDSS-2 | VirusWin32.Sality.aa | Worm.Palevo.ayal_3 | Trojan.unknown.a.C640 | Worm.Palevo.ayal_1 | ","c2 | malware | phishing | scanner | ransomware | Distribution Site | Spam | 僵尸木马主控端 | digiccy | porn | 木马-其他 | 僵尸网络-http协议 | Ransomware | simda | ","apt | ransomware | spamming | ransomware | c2 | black | reputation"
"176.119.156.128","","","","apt"
"184.168.221.70","26496 | 26496","Locky | VirusWin32.Sality.aa | ","c2 | ransomware | Distribution Site | 僵尸木马主控端 | 木马-其他 | ","apt | ransomware | c2 | reputation"
"184.168.221.71","26496 | 26496","Locky | IMDDOS_2 | VirusWin32.Sality.aa | Trojan.Win32.FakeLPK.7cfa | ","c2 | malware | phishing | ransomware | Distribution Site | 僵尸木马主控端 | gambling | 木马-其他 | 木马-远控 | Ransomware | 僵尸网络 | ","apt | ransomware | ransomware | c2 | reputation"
"184.168.221.76","26496 | 26496","Locky | ","c2 | malware | phishing | ransomware | Distribution Site | gambling | porn | Ransomware | ","apt | ransomware | ransomware | c2 | reputation"
"184.168.221.77","26496 | 26496","Locky | VirusWin32.Sality.aa | ","c2 | malware | phishing | ransomware | Distribution Site | Spam | 僵尸木马主控端 | gambling | porn | 木马-其他 | Ransomware | ","apt | ransomware | spamming | ransomware | c2 | reputation"
"184.168.221.84","26496 | 26496","Locky | GlobeImposter | VirusWin32.Sality.aa | ","c2 | malware | phishing | ransomware | Distribution Site | Spam | 僵尸木马主控端 | digiccy | porn | 木马-其他 | Ransomware | ","apt | ransomware | spamming | ransomware | c2 | reputation"
"184.168.221.90","26496 | 26496","Locky | VirusWin32.Sality.aa | ","c2 | malware | scanner | ransomware | Distribution Site | malicious | 僵尸木马主控端 | digiccy | 木马-其他 | Ransomware | ","apt | ransomware | spamming | ransomware | c2 | black | reputation"
"184.168.221.92","26496 | 26496","Locky | ","c2 | scanner | ransomware | Distribution Site | malicious | gambling | Ransomware | ","apt | ransomware | ransomware | c2 | reputation"
"185.105.109.14","43641","","","apt"
"185.118.164.19","44493 | 44493 | 44493","","bruteforce | ","apt | reputation"
"185.118.164.8","44493 | 44493 | 44493","","","apt"
