"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"cloudefax.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"cloudefax.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"corpefax.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"corporateefax.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"corporateefax.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"deliverefax.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"deliveryefax.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"deliveryefax.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efax-office.xyz","","","","apt"
"efax-online.xyz","","","","apt"
"efaxapp.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxbusiness.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxclient.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxcloud.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxcloud.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxcorp.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxcorporate.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxcorporate.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxdeliver.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxdelivery.site","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxdelivery.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxonline.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"efaxreceive.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"fax-eu.xyz","","","","apt"
"onlinefax.xyz","","","僵尸木马主控端 | ","apt | reputation | c2"
"http://54.39.233.175/wupd19823.tmp","","Buran | ","malware | exe | Ransomware | DEU | Buran | 恶意软件 | ","apt | reputation"
"http://iplogger.ru/1ldEu.jpg","","","","apt"
"http://onlinefax.xyz/s.php","","","","apt"
"C90B5FC557C898D093FC784752CF9A3C","","","","apt"
"21660B6E5C22F2BCAE7679C9DD5E82B994862A090B7CF0CC2E843FBD05901525","","","","apt"
"8887797CA52A846D342CB95A0816CF95A615B54C763570218BA6E20B75AB44D1","","","","apt | reputation"
"DC276B7CA4A980CF487B73B4EF9C40FB93F1B00B5C757A726057AB21A0372ECF","","","","apt | reputation"
"daten@airmail.cc","","","","apt"
"daten@cock.li","","","","apt"
