"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"curt.hopto.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"document-listing.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"list-sert.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"shell-sertificates.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"tempget.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"templates.hopto.org","","","僵尸木马主控端 | ","apt | reputation | c2"
"temppost.ddns.net","","","僵尸木马主控端 | ","apt | reputation | c2"
"wizartopen.ddns.net","","Gamaredon | ","僵尸木马主控端 | c2 | ","apt | reputation | c2"
"084869180f447c2718a5ba5c2ee43a811ca45c8106a3bac6d1dd6b86a6b60db8","","","","apt"
"41d96dfe51d49c199ced4f5e1cb2adda04f91087e30d3158e756e64ccde30889","","","","apt"
"4869962606eaf5f066751d4cbd7b77cb2a5702e485e320e8a3f19c89e6e200fd","","","","apt"
"63bbf3a5ddfb637aea0deaf39aca470f5d58820894c4df6000e57110847e5b5a","","","","apt"
"a94b4e7ecd9482b0e610b2521727715d1d401d775617512514bdd2e0b9351e06","","","","apt"
"c871823054104cb3b5ecb18d7da909a785f67a42a2fde51a7797d3cad10dee99","","","","apt"
