"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"138.59.32.72","263152 | 263152 | 263152","","",""
"185.225.17.77","39798","","",""
"185.56.89.196","60140","","",""
"188.241.60.109","43578","","",""
"190.0.226.147","263713 | 263713","","",""
"46.151.212.201","51975","","",""
"46.151.212.202","51975","","",""
"5.226.168.124","43578","DePriMon","恶意软件","apt"
"88.119.179.17","198651 | 198651","","",""
"almawaddrial.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"alwatantrade.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"babmaftuh.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"elehenishing.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"img.dealscienters.net","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"mdeastserv.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"shayalyawm.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"teknikgorus.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"wnupdnew.com","","DePriMon","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"02B38F6E8B54885FA967851A5580F61C14A0AAB6","","DePriMon","恶意软件","apt"
"03E047DD4CECB16F513C44599BF9B8BA82D0B7CB","","DePriMon","恶意软件","apt"
"0996C280AB704E95C9043C5A250CCE077DF9C8B2","","DePriMon","恶意软件","apt"
"15EBE328A501B1D603E66762FBB4583D73E109F7","","DePriMon","恶意软件","apt"
"1911F6E8B05E38A3C994048C759C5EA2B95CE5F7","","DePriMon","恶意软件","apt"
"2B30BE3F39DEF1F404264D8858B89769E6C032D9","","DePriMon","恶意软件","apt"
"2D80B235CDF41E09D055DD1B01FD690E13BE0AC7","","DePriMon","恶意软件","apt"
"6DB79671A3F31F7A9BB870151792A56276619DC1","","DePriMon","恶意软件","apt"
"6FAB7AA0479D41700981983A39F962F28CCFBE29","","DePriMon","恶意软件","apt"
"7D0B08654B47329AD6AE44B8FF158105EA736BC3","","DePriMon","恶意软件","apt"
"7E8A7273C5A0D49DFE6DA04FEF963E30D5258814","","DePriMon","恶意软件","apt"
"8B4F3A06BA41F859E4CC394985BB788D5F76C85C","","DePriMon","恶意软件","apt"
"94C0BE25077D9A76F14A63CBF7A774A96E8006B8","","DePriMon","恶意软件","apt"
"968B52550062848A717027C512AFEDED19254F58","","DePriMon","恶意软件","apt"
"9C4BADE47865E8111DD3EEE6C5C4BC83F2489F5B","","DePriMon","恶意软件","apt"
"AA59CB6715CFFF545579861E5E77308F6CAEAC36","","DePriMon","恶意软件","apt"
"C2388C2B2ED6063EACBA8A4021CE32EB0929FAD2","","DePriMon","恶意软件","apt"
"CA34050771678C65040065822729F44B35C87B0C","","DePriMon","恶意软件","apt"
"D38045B42C7E87C199993AB929AD92ADE4F82398","","DePriMon","恶意软件","apt"
"E272FDA0E9BA1A1B8EF444FF5F2E8EE419746384","","DePriMon","恶意软件","apt"
"E2D39E290201010F49652EE6116FD9B35C9AD882","","DePriMon","恶意软件","apt"
"F413EEE3CFD85A60D7AFC4D4ECC4445BB1F0B8BC","","DePriMon","恶意软件","apt"
