"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"103.13.67.4","131284","","","apt"
"104.218.120.128","62731","","","apt"
"104.237.233.40","16628","","","apt | black | reputation"
"104.237.233.60","16628","","malware | ","apt | black | reputation"
"104.237.255.212","16628","","","apt | black | reputation"
"104.238.184.252","20473","","","apt"
"107.175.150.113","36352","","","apt | reputation"
"109.169.89.103","20860","","","apt"
"109.200.24.114","20860 | 35662","","Malicious Host | ","apt | reputation"
"137.74.157.84","6 | 16276","","bruteforce | scanner | ","apt | reputation"
"137.74.80.220","6 | 16276","","bruteforce | Spam | ","apt | spamming | reputation"
"139.59.46.154","14061 | 14061 | 135340 | 135340","木马后门 | ","bruteforce | 僵尸木马主控端 | Shamoon | 木马 | ","apt | c2 | reputation"
"142.234.157.21","15003 | 395954","","","apt"
"164.132.67.216","6 | 16276","","","apt"
"185.122.56.232","7489","","","apt"
"185.125.204.57","51942 | 200039","","scanner | ","apt | reputation"
"185.161.209.57","50673","","","apt"
"185.161.210.25","50673","","","apt"
"185.162.235.106","50673","","","apt"
"185.162.235.121","50673","","scanner | attacks courierimap | ","apt | reputation"
"185.162.235.29","50673","","","apt"
"185.175.138.173","62240 | 62240","","","apt"
"185.185.25.175","24940 | 44066","","","apt"
"185.244.14.218","1273","","","apt"
"185.36.191.31","42331 | 50673","","","apt"
"188.165.119.138","6 | 16276","","","apt"
"193.111.152.13","50673","","","apt"
"193.70.71.112","6 | 16276","","","apt"
"195.154.41.150","12876","","malware | ","apt | reputation"
"195.154.41.72","12876","","Malicious Host | ","apt | reputation"
"212.32.226.245","60781","","","apt"
"213.32.113.159","6 | 16276","","bruteforce | ","apt | reputation"
"216.244.93.137","23033 | 23033","","","apt"
"31.7.62.48","51852","","","apt"
"45.56.123.129","63949","","","apt"
"45.58.37.142","6364 | 13768","","","apt"
"45.76.128.165","20473","","Shamoon | ","apt | reputation"
"5.135.120.57","6 | 16276","","","apt"
"5.135.199.25","6 | 16276","","","apt"
"5.9.0.155","24940","","","apt | black | reputation"
"51.77.11.46","6 | 16276","","","apt"
"54.36.73.108","6 | 16276","","","apt"
"54.37.48.172","6 | 16276","","","apt"
"54.38.124.150","6 | 16276","","","apt"
"66.219.22.235","15085 | 15085","","malware | phishing | ","apt | reputation"
"69.87.223.26","13768","","","apt"
"78.129.139.131","20860","","","apt"
"80.80.163.182","21246 | 21246","","proxy | ","apt | proxy | reputation"
"80.82.79.221","29073","","","apt"
"80.82.79.240","29073","","Malicious Host | ","apt | reputation"
"80.90.87.201","35444","","","apt | proxy"
"83.171.238.62","","","","apt"
"88.150.221.107","20860 | 20860 | 35662 | 35662","","","apt"
"89.107.60.11","59764","","","apt"
"89.107.62.39","59764","木马后门 | ","僵尸木马主控端 | Shamoon | 木马 | ","apt | c2 | reputation"
"91.134.203.59","6 | 16276","","","apt"
"91.187.114.210","21246 | 21246","","","apt"
"0ffice.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"0ffice365.agency","","","僵尸木马主控端 | 恶意软件 | ","apt | reputation | black | c2"
"0ffice365.life","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"0ffiice.com","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"0nedrive.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"0utl00k.net","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"0utlook.bid","","","僵尸木马主控端 | ","apt | reputation | c2"
"acrobatverify.com","","","c2 | 僵尸木马主控端 | 木马后门 | ","apt | reputation | c2"
"adpolioe.com","","","c2 | ","apt | reputation | c2"
"Akamai.agency","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akamaiedge.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akamaized.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akdns.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"allexa.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"alsalam.ddns.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"analytics-google.org",""," | MagicHound","c2 | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"anyconnect.stream","","","僵尸木马主控端 | ","apt | reputation | c2"
"azureedge.today","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"bigip.stream","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"boeing.servehttp.com","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"britns.akadns.live","","","僵尸木马主控端 | 恶意软件 | ","apt | reputation | black | c2"
"cdnakamaiplanet.com","","","","apt"
"cdnmsnupdate.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"cisc0.net","","","malware | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"corewindows.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"cpuproc.com","","","c2 | 僵尸木马主控端 | 木马后门 | ","apt | reputation | c2"
"defender-update.com","","","c2 | 僵尸木马主控端 | 木马后门 | 钓鱼攻击 | ","apt | reputation | c2"
"edgekey.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"getgooogle.hopto.org","","","僵尸木马主控端","apt | reputation | c2"
"googleads.hopto.org","","","僵尸木马主控端","apt | reputation | c2"
"googlmail.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"hotmai1.com","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"iecvlist-microsoft.live","","","malware | 僵尸木马主控端 | 恶意软件 | ","apt | reputation | black | c2"
"kaspersky.host","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"logn-micrsftonine-con.ml","","","","apt"
"maccaffe.com","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"mail-macroadvisorypartners.ml","","","malware | phishing | ","apt | reputation"
"managehelpdesk.com","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"Microsoft-publisher.com","","","c2 | 僵尸木马主控端 | ","apt | reputation | c2"
"microsoftexplorerservices.cloud",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"microsoftonline.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"microsoftupdated.com","","","phishing | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"microsoftupdated.net","","","malware | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"microtik.stream","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"micrrosoft.net","","","malware | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"msdncss.com","","","c2 | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"msoffice-cdn.com",""," | OilRig","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"msoffice365update.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"msservice.site",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"my-mailcoil.ml","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"Myleftheart.com",""," | OilRig","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"mywinnetwork.ddns.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"ngaaksa.ddns.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"ngaaksa.sytes.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"ns2.akadns.live","","","僵尸木马主控端 | 恶意软件 | ","apt | reputation | black | c2"
"nsatc.agency","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"ntpupdateserver.com","","","僵尸木马主控端 | ","apt | reputation | c2"
"office365-management.com",""," | OilRig","c2 | malware | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"office365-technical.info","","","","apt"
"onedrive.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"oorgans.com","","","","apt"
"osupd.com","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"owa-insss-org-ill-owa-authen.ml","","","malware | 僵尸木马主控端 | ","apt | reputation | c2"
"owa365.bid","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"phicdn.world","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"prosalar.com","","","c2 | 僵尸木马主控端 | 木马后门 | ","apt | reputation | c2"
"qualitweb.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"rdppath.com","","","c2 | 僵尸木马主控端 | 木马后门 | ","apt | reputation | c2"
"service-eset.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"service-essential.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"service-explorer.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"service-norton.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"service.chrome-up.date",""," | MagicHound","c2 | phishing | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"service1.chrome-up.date",""," | MagicHound","c2 | phishing | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"servicesystem.serveirc.com",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"sharepoint.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"shopcloths.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"simsoshop.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"skydrive.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"so-cc-hujii-ac-il.ml","","","","apt"
"suncocity.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"syn.broadcaster.rocks","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"syn.timezone.live",""," | MagicHound"," | 恶意软件","apt"
"t-msedge.world","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"timezone.live",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"tvs1.trafficmanager.live","","","malware | 僵尸木马主控端 | 恶意软件 | ","apt | reputation | black | c2"
"tvs2.trafficmanager.live","","","malware | 僵尸木马主控端 | 恶意软件 | ","apt | reputation | black | c2"
"update-symantec.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"vinnellarabia.myftp.org","","","malware | 僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"webmaiil-tau-ac-il.ml","","","僵尸木马主控端 | ","apt | reputation | c2"
"webmail-tidhar-co-il.ml","","","僵尸木马主控端 | ","apt | reputation | c2"
"windowsdefender.win","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"windowspatch.com","","","c2 | 僵尸木马主控端 | 木马后门 | 钓鱼攻击 | ","apt | reputation | c2"
"withyourface.com","","BONDUPDATER | ","suspicious | 僵尸木马主控端 | ","apt | reputation | c2"
"www.chromup.com","","18 | ","c2 | phishing | 僵尸木马主控端 | 鱼叉式网络钓鱼 | C&C-DangerousObject.Multi.Generic | ","apt | reputation | c2"
"www.googlmail.net","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"www.microsoftsubsystem.com-adm.in",""," | MagicHound"," | 恶意软件","apt"
"www.msoffice365cdn.com","","","","apt"
"www.securityupdated.com","","","僵尸木马主控端 | 鱼叉式网络钓鱼 | ","apt | reputation | c2"
"www1.chrome-up.date",""," | MagicHound","c2 |  | 恶意软件","apt | reputation | c2"
"www3.chrome-up.date",""," | MagicHound","c2 |  | 恶意软件","apt | reputation | c2"
"www5.chrome-up.date",""," | MagicHound"," | 恶意软件","apt"
"www7.chrome-up.date",""," | MagicHound","c2 |  | 恶意软件","apt | reputation | c2"
"zandelshop.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"zeverco.com",""," | ","僵尸木马主控端 |  | c2","apt | reputation | c2"
"amazo0n.serveftp.com/Data","","","","apt"
"http://104.237.233.17","","","","apt"
"http://106.187.38.21/short_qr/work.php?c=","","","","apt"
"http://134.19.215.3:443","","","","apt"
"http://185.117.75.116/tmp.php","","","","apt"
"http://185.14.248.26","","","","apt"
"http://185.162.235.182","","","","apt"
"http://185.185.25.175/ref45.php","","","","apt"
