"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"acount-qooqle.pe.hu","","","僵尸木马主控端","apt | reputation | c2"
"ago2.co.kr","","","僵尸木马主控端","apt | reputation | c2"
"ahnniab.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"aiyac-updaite.hol.es","","","malware | 僵尸木马主控端","apt | reputation | c2"
"daum-safety-team.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"gyjmc.com","","","僵尸木马主控端","apt | reputation | c2"
"jejuseongahn.org","","","phishing | 僵尸木马主控端","apt | reputation | c2"
"jundosase.cafe24.com","","","僵尸木马主控端","apt | reputation | c2"
"kuku675.site11.com","","","僵尸木马主控端","apt | reputation | c2"
"kuku79.herobo.com","","","僵尸木马主控端","apt | reputation | c2"
"mail-service.pe.hu","","","僵尸木马主控端","apt | reputation | c2"
"mail-support.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"my-homework.890m.com","","","僵尸木马主控端","apt | reputation | c2"
"myacccounts-goggle.hol.es","","","僵尸木马主控端","apt | reputation | c2"
"myaccounnts-goggle.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"nav-mail.hol.es","","","僵尸木马主控端","apt | reputation | c2"
"nid-mail.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"nid-naver.hol.es","","","僵尸木马主控端","apt | reputation | c2"
"qqoqle-centering.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"safe-naver-mail.pe.hu","","","僵尸木马主控端","apt | reputation | c2"
"suppcrt-seourity.esy.es","","","僵尸木马主控端","apt | reputation | c2"
"http://ago2.co.kr/bbs/data/dir/F.php","","","","apt"
"http://ago2.co.kr/bbs/data/dir/note.png","","","","apt"
"http://ago2.co.kr/bbs/data/dir/svchow.dat","","","","apt"
"http://ago2.co.kr/bbs/data/F.php","","","","apt"
"http://ago2.co.kr/bbs/data/R.php","","","","apt"
"http://ahnniab.esy.es/w/b.js","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/AlyacMonitor64","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/AppContainer32.a","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/AppContainer64.a","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/BuildSteps32","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/BuildSteps64","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/Cookie.a","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/CoreWin32","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/CoreWin64","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/f.a","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/kakao.a","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/MSOfficeUpdate64","","","","apt"
"http://aiyac-updaite.hol.es/Est/down/xpad64.exe","","","malware | exe | Payload | stage2","apt | reputation"
"http://kuku675.site11.com/data/zero/log.php","","","","apt"
"http://kuku79.herobo.com/data/pod/fund.pas","","","","apt"
"http://my-homework.890m.com/bbs/data/board.php","","","","apt"
"http://my-homework.890m.com/bbs/data/brave.ct","","","","apt"
"http://my-homework.890m.com/bbs/data/tmp/D.php","","","","apt"
"http://my-homework.890m.com/bbs/data/tmp/fileupload.php","","","","apt"
"http://my-homework.890m.com/bbs/data/tmp/Ping.php","","","","apt"
"http://my-homework.890m.com/gnu/board.php","","","","apt"
"http://my-homework.890m.com/gnu/download/3.wsf","","","","apt"
"http://my-homework.890m.com/gnu/ver","","","","apt"
"http://nid-mail.esy.es/bbs/data/tmp/alpha.php","","","","apt"
"http://nid-mail.esy.es/bbs/data/tmp/D.php","","","","apt"
"http://nid-mail.esy.es/bbs/data/tmp/fileupload.php","","","","apt"
"http://nid-mail.esy.es/bbs/data/tmp/Ping.php","","","","apt"
"http://nid-mail.esy.es/bbs/data/tmp/tie.txt","","","","apt"
"http://safe-naver-mail.pe.hu/Est/down/2.a","","","","apt"
"http://safe-naver-mail.pe.hu/Est/down/AlyacMonitor64","","","","apt"
"http://safe-naver-mail.pe.hu/Est/down/cookie.a","","","","apt"
"http://suppcrt-seourity.esy.es/update/templates/indox.php","","","","apt"
"http://www.gyjmc.com/board/data/cheditor/dir1/F.php","","","","apt"
"http://www.jejuseongahn.org/hboard4/data/cheditor/badu/alpha.php","","","","apt"
"https://drive.google.com/uc?export=download&id=0B9_jdTGo3-sndXJESjllMkloOFU","","","","apt"
"https://drive.google.com/uc?export=download&id=0B9_jdTGo3-snT3RTMHJMZEk2Szg","","","","apt"
"https://drive.google.com/uc?export=download&id=1MVR58_5SlXgDZ5arasQk9AnmihAb3KJ6","","","","apt"
"https://drive.google.com/uc?export=download&id=1ocUSxHf_0jUjVMMbAQzwTJb0blUG0bYh","","","","apt"
"https://drive.google.com/uc?export=download&id=1olByidca-8vkS-5jRKL9CirKPEP7waHm","","","","apt"
"https://drive.google.com/uc?export=download&id=1RC5_9WWrfMMZKfu11OfIac5y2d5vRH1c","","","","apt"
"https://drive.google.com/uc?export=download&id=1xCePTgAdwNIAN7MWOH_80aN_TZgn8uFv","","","","apt"
"028abdf89dc34088c2935e972a97f2d1249efe100f6282979d1771121c45101c","","","","apt"
"03cd82887b032ce2968bb739d13e1dd0ce3683df5bc1b87edc6872ddcd1dc625","","","","apt"
"08ac5048e86d368eea55d55781659dc54070debc9d117ed0a5ca8edd499fe1f8","","","","apt"
"098dd6d2556fa546132570795a9b901dbf93f306be1a9481b54b85d1f9203c9a","","","","apt"
"0ba05db51dfb118f82a38afaca2174a9b51ff59f20c90fd634b7298e019eacbf","","","","apt"
"12ee511259f7f03e8472efa8baf3e250b64f8da65fe71212cedfdac887f503f4","","","","apt"
"159b20e19c43ff6a8ba906d23596d5d138efa94aa38b611ee36a3f4da813278c","","","","apt"
"2a25d42130837560fcff1e1e19264f05784bf9e9db6464afb15d7e26f7f4a433","","","","apt"
"2b8a31c6a2a70ad4b5c593400731b418b91b0d55c48158a8a024420792268328","","","","apt"
"2c523736994639172ee7375a8e1392081f699ae0cc397015e1cad47ce44cfded","","","","apt"
"2c7a76c85a182bf4045afe2180d1d845ddbfca6044995f2273c77cbeb1e42f8a","","","","apt"
"38368ada36a1d98bbc55408e26a2219ec60e0e53c8d34d67fd010af574f84e5a","","","","apt"
"48ba9d01f1fba5421e8bfbdd384a3849916bbd3e7930557f7d8f92f27cceb5fe","","","","apt"
"493aadefcf45642c34b4d84a84a41da9ac173b52c3217f62b3e25ece6379bd94","","","","apt"
"55e69e1337af0d93b5a3742d999bf805177c404e7e60e48f303509592ecd0e29","","","","apt"
"575606c03d3775cd8880c76a3ef7c014cfcab08411a01f07fc3fcb60166be50b","","","","apt"
"58dc45c15d17c609f5237abf9a6d0a896a310bfd3406e72413b2929c781d6979","","","","apt"
"59203b2253e5a53a146c583ac1ab8dcf78f8b9410dee30d8275f1d228975940e","","","","apt"
"59283e60015923ab16f51dcb29350158f8f86e6d86dcaf8377468bb20bea3570","","","","apt"
"5bfa034f7555a38e64c078af71b4ff8c49511579fa826a87661940b7e9a6e333","","","","apt | reputation"
"5f05c1dffda819f082a1df8cc81faa77d3d69ba4b1d0a2092c2d5b66234f2d7e","","","","apt"
"5f2ac8672e19310bd532c47d209272bd75075696dea6ffcc47d1d37f18aff141","","","","apt"
"623458ffccbc4641a78914dcf9efdd78bbbd9103fc36d186c534a6d1aea4333d","","","","apt"
"71841a1b5ee1b383a9282bf513723b7f1713a0e1ee501db38d64c2db9ba08ec4","","","","apt"
"74d6b81565aeb95ee9df37ef7738d10baa9866261fb894d9ee9d67fc7c66badc","","","","apt"
"7603be6e20fdf1338f5de8660b866a7dcb87f1468d139930d9afcba7f3acabb4","","","","apt"
"828f828a4c7b098786a0b719c4cecbb1fe3c28aaf25f81fc939b9099097e4c1e","","","","apt"
"84edc9b828de54d4bd00959fabf583a1392cb4c3eab3498c52818c96dc554b90","","","","apt"
"8573d9008cca956a8f8b9a46ed7880b471435327e8e0ea42b2e143b410a99d7b","","","","apt"
"860b3a252226dea43cba5ea52f094c4c7c408f20e236f49bc975ff374d2450b8","","","","apt"
"8719218fc45939cf55e3e2d66d83769d916e736514941ffce3fffc515614ef4a","","","","apt"
