"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"38.27.99.69","174 | 26484","","","apt"
"43.229.55.44","","","","apt"
"filedownloaderserver.com","","","","apt"
"filedownloaderservers.com","","","","apt"
"filedownloaderserverx.com","","","","apt"
"ragnarokfromasgard.com","","","","apt"
"sophosenterprisecenter.com","","","","apt"
"sophosfirewallupdate.com","","","","apt"
"sophosproductupdate.com","","","","apt"
"sophostraining.org","","","","apt"
"sophoswarehouse.com","","","","apt"
"updatefileservercross.com","","","","apt"
"http://filedownloaderservers.com/bkin","","","","apt"
"http://sophosfirewallupdate.com/bkin","","","","apt"
"http://sophosfirewallupdate.com/sh_guard/lc","","","","apt"
"https://ragnarokfromasgard.com/sp/patch.sh","","","","apt"
"https://sophosfirewallupdate.com/bk","","","","apt"
"https://sophosfirewallupdate.com/in_exit","","","","apt"
"https://sophosfirewallupdate.com/sp/ae.sh","","","","apt"
"https://sophosfirewallupdate.com/sp/Install.sh","","","","apt"
"https://sophosfirewallupdate.com/sp/lp","","","","apt"
"https://sophosfirewallupdate.com/sp/lpin","","","","apt"
"https://sophosfirewallupdate.com/sp/p.sh","","","","apt"
"https://sophosfirewallupdate.com/sp/sophos.dat","","","","apt"
