"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"185.106.120.43","60117","","","apt"
"heartissuehigh.win","","","Spam | 僵尸木马主控端","apt | reputation | c2"
"mail.webserv-redir.net","","","黑域名（其他）","apt | reputation"
"webserv-redir.net","","","malware | suspicious | 僵尸木马主控端 | C2","apt | reputation | c2"
"www.webserv-redir.net","","","黑域名（其他）","apt | reputation"
"http://www.webserv-redir.net/images/67381F0B/-1/5272/3cdc4fcb/main.RTF","","","","apt"
"7bd7cec82ee98feed5872325c2f8fd9f0ea3a2f6cd0cd32bcbe27dbbfd0d7da1","","","malware","apt"
"7c76c3c9e8569e102ba083a64d22cf46920e3566d7e940b54fb1e6c628e6610f","","","malware","apt"
"8c16ebad57e0288077ae58607b2967bf7b40761b20d783814d655280e9779e99","","","malware","apt"
"dd5c74f195b7ba0cd06fe3b899125c09440ce14648080f520c06857e4001ff54","","","malware","apt"
