"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"www.ovci-veci.cz","","","","apt"
"bandung.pojoksatu.id/?p%3D177978","","","","apt"
"bandung.pojoksatu.id//en.html","","","","apt"
"bandung.pojoksatu.id//id.html","","","","apt"
"bandung.pojoksatu.id//id/corporate-social-responsibility.html","","","","apt"
"bandung.pojoksatu.id//id/corporate-website.html","","","","apt"
"bandung.pojoksatu.id//id/corporate-website/kontak-kami.html","","","","apt"
"bandung.pojoksatu.id//id/corporate-website/rate-dan-biaya/kurs-valas.html","","","","apt"
"bandung.pojoksatu.id//id/corporate-website/rate-dan-biaya/prime-lending-rate.html","","","","apt"
"bandung.pojoksatu.id/#grve-polling-modal","","","","apt"
"bandung.pojoksatu.id/#mingguini","","","","apt"
"bandung.pojoksatu.id/bandung-barat","","","","apt"
"bandung.pojoksatu.id/bandung/","","","","apt"
"bandung.pojoksatu.id/bisnis/","","","","apt"
"bandung.pojoksatu.id/comments/feed/","","","","apt"
"bandung.pojoksatu.id/iklan/bjb-lebaran/","","","","apt"
"bandung.pojoksatu.id/iklan/iklan-dprd/","","","","apt"
"bandung.pojoksatu.id/iklan/pemprov-jabar/","","","","apt"
"bandung.pojoksatu.id/jabar-area/","","","","apt"
"bandung.pojoksatu.id/kabupaten-bandung/","","","","apt"
"bandung.pojoksatu.id/lifestyle/","","","","apt"
"bandung.pojoksatu.id/lifestyle/belanja/","","","","apt"
"bandung.pojoksatu.id/lifestyle/kuliner/","","","","apt"
"bandung.pojoksatu.id/lifestyle/wisata/","","","","apt"
"bandung.pojoksatu.id/olahraga/","","","","apt"
"bandung.pojoksatu.id/olahraga/moto-gp/","","","","apt"
"bandung.pojoksatu.id/olahraga/top-soccer/","","","","apt"
"bandung.pojoksatu.id/persib/","","","","apt"
"bandung.pojoksatu.id/pojok-info/","","","","apt"
"bandung.pojoksatu.id/politik-2/pemilihan-legislatif/#terpopuler","","","","apt"
"bandung.pojoksatu.id/politik-2/pilgub-jabar/","","","","apt"
"bandung.pojoksatu.id/politik-2/pilkada-serentak/","","","","apt"
"bandung.pojoksatu.id/politik/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/01/cadas-ferry-pak-presiden-jokowi-aja-suruh-bunuh-diri/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/02/bagaimana-cara-membuat-si-dia-terpuaskan/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/06/brotherhood-meradang-keluarkan-maklumat-soal/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/gairah-seks-menurun-sikat-5-buah-ini-sebelum/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/jennifer-lopez-dan-alex-rodriguez","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/jika-mediasi-gagal-sule-pasrah-dicerai/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/mantap-lagu-exo-akan-dimainkan-di-final-piala-dunia/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/partai-pendukung-ridwan-kamil-kuasai/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/pencipta-lagi-syantik-bantah-ambil-jargon/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/warganet-heboh-amanda-manopo-upload-foto/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/warganet-heboh-amanda-manopo-upload-foto/#respond","","","","apt"
"bandung.pojoksatu.id/read/2018/07/07/warganet-heboh-amanda-manopo-upload-foto/feed/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/08/hade-pisan-ezechiel-selain-raja-gol-persib-ternyata-ada-prestasi/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/08/harga-tiket-asian-games-2018-kemahalan-cak-imin-angkat-suara/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/08/kata-pengamat-peluang-prabowo-ahy-kalahkan-jokowi-lebih/","","","","apt"
"bandung.pojoksatu.id/read/2018/07/08/kroasia-menuju-semifinal","","","","apt"
"bandung.pojoksatu.id/read/2018/07/08/livorno-maaf-juve-kami-sudah-dapatkan-cristiano-lebih/","","","","apt"
