"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"103.28.44.112","38277","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"103.28.44.115","38277","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"128.199.227.80","14061 | 133165","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"128.199.90.216","14061 | 133165","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"138.197.236.215","14061","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"139.59.217.207","14061 | 133165","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"139.59.220.10","14061","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"139.59.220.12","14061","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"139.59.223.191","14061","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"188.166.219.18","14061 | 133165","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"203.114.75.22","38001","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"203.114.75.73","38001","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"37.59.198.130","6 | 16276","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"37.59.198.131","6 | 16276","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.114.117.164","38001","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.32.100.179","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.32.105.45","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.32.114.49","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.76.147.201","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.76.179.151","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.76.179.28","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"45.77.39.101","20473","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.145","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.146","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.16","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.17","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.21","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.41","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.9","6939 | 6939","","c2 | APT_OceanLotus","apt | c2 | reputation"
"64.62.174.99","6939 | 6939","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"79.143.87.174","57230","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"89.33.64.207","42831","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"89.33.64.232","42831","","c2 | 水坑攻击 | APT_OceanLotus","apt | c2 | reputation"
"a.doulbeclick.org","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"ad.adthis.org","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"ad.jqueryclick.com","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"ad.linksys-analytic.com","","","c2 | 水坑攻击","apt | reputation | c2"
"ads.alternativeads.net","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"api.2nd-weibo.com","","","c2 | 水坑攻击","apt | reputation | c2"
"api.analyticsearch.org","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"api.baiduusercontent.com","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"api.disquscore.com","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"api.querycore.com","","","c2 | 僵尸木马主控端 | 水坑攻击","apt | reputation | c2"
"browser-extension.jdfkmiabjpfjacifcmihfdjhpnjpiick.com","","","c2 | 水坑攻击","apt | reputation | c2"
"cache.akamaihd-d.com","","","c2 | 水坑攻击","apt | reputation | c2"
"cdn-js.com","","","c2 | malware | 水坑攻击","apt | reputation | c2"
