"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"0ffice365.life","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"0nedrive.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akamai.agency","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akamaiedge.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akamaized.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"akdns.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"azureedge.today","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"corewindows.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"edgekey.live","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"microsoftonline.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"nsatc.agency","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"onedrive.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"phicdn.world","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"sharepoint.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"skydrive.agency","","","c2 | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"t-msedge.world","","","c2 | malware | 僵尸木马主控端 | 恶意软件 | 钓鱼 | ","apt | reputation | black | c2"
"trafficmanager.live","","","c2 | 僵尸木马主控端 | 钓鱼","apt | reputation | black | c2"
"039bd47f0fdb6bb7d68a2428c71f317d","","","c2 | malware | 钓鱼","apt | reputation | black"
"5c3f96ade0ea67eef9d25161c64e6f3e","","","c2 | malware | 钓鱼","apt | reputation | black"
"8dc9f5450402ae799f5f8afd5c0a8352","","","c2 | malware | 钓鱼","apt | reputation | black"
"b108412f1cdc0602d82d3e6b318dc634","","","c2 | malware | 钓鱼","apt | reputation | black"
