"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"107.191.47.42","20473","","木马后门","apt | reputation"
"162.220.246.117","43350 | 49367","","","apt"
"167.160.36.14","8100 | 62874","","","apt"
"172.245.30.30","36352","","","apt"
"173.254.236.130","8100","","c2 | 木马后门","apt | c2 | reputation"
"185.117.73.116","60117","","","apt"
"185.82.202.207","60117","","木马后门","apt | reputation"
"192.161.48.59","8100","","c2 | 木马后门","apt | c2 | reputation"
"192.169.6.154","8100","","","apt"
"192.169.6.199","8100","","","apt"
"192.169.7.99","8100","","","apt"
"192.210.214.121","36352","","","apt"
"192.52.167.125","8100","","","apt"
"192.52.167.235","8100","","","apt"
"45.32.13.169","20473","","","apt"
"45.32.236.220","20473","","","apt"
"72.11.148.147","8100","","c2 | 木马后门","apt | c2 | reputation"
"0arfx4grailorhvlicbj.servehumour.com","","","c2 | 僵尸木马主控端","apt | reputation | c2"
"0n4tblbdfncaauxioxto.ddns.net","","","僵尸木马主控端","apt | reputation | c2"
"3tshhm1nfphiqqrxbi8c.servehumour.com","","","c2 | 僵尸木马主控端","apt | reputation | c2"
"aaas.mefound.com","","","僵尸木马主控端","apt | reputation | c2"
"acc.buybit.us","","","c2 | phishing | 僵尸木马主控端","apt | reputation | c2"
"accounts-helper.ml","","","僵尸木马主控端","apt | reputation | c2"
"adfdafsggdfgdfgsagaer.blogsyte.com","","","c2 | 僵尸木马主控端","apt | reputation | c2"
"aqs.filezellasd.co.vu","","","僵尸木马主控端","apt | reputation | c2"
"baz.downloadcor.xyz","","","僵尸木马主控端","apt | reputation | c2"
"bulk-smtp.xyz","","","僵尸木马主控端","apt | reputation | c2"
"buy.israel-shipment.xyz","","","僵尸木马主控端","apt | reputation | c2"
"cl170915.otzo.com","","","僵尸木马主控端","apt | reputation | c2"
"cnaci8gyolttkgmguzog.ignorelist.com","","","僵尸木马主控端","apt | reputation | c2"
"cyaxsnieccunozn0erih.mefound.com","","","僵尸木马主控端","apt | reputation | c2"
