"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"andspurs.com","","","僵尸木马主控端","apt | reputation | c2"
"cavanic9.net","","","僵尸木马主控端","apt | reputation | c2"
"dnsapp.info","","","僵尸木马主控端","apt | reputation | c2"
"log.autocount.org","","","僵尸木马主控端","apt | reputation | c2"
"Micakiz.wikaba.org","","","僵尸木马主控端","apt | reputation | c2"
"News.memozilla.org","","","c2 | phishing | 僵尸木马主控端","apt | reputation | c2"
"ridingduck.com","","","僵尸木马主控端","apt | reputation | c2"
"Run.linodepower.com","","","c2 | 僵尸木马主控端","apt | reputation | c2"
"Singa.linodepower.com","","","c2 | 僵尸木马主控端","apt | reputation | c2"
"video.memozilla.org","","","c2 | 僵尸木马主控端","apt | reputation | c2"
"zipcodeterm.com","","","僵尸木马主控端","apt | reputation | c2"
"16b868d1bef6be39f69b4e976595e7bd46b6c0595cf6bc482229dbb9e64f1bce","","","","apt"
"6df9b712ff56009810c4000a0ad47e41b7a6183b69416251e060b5c80cd05785","","","","apt"
"6ea9cc475d41ca07fa206eb84b10cf2bbd2392366890de5ae67241afa2f4269f","","","","apt"
"750d9eecd533f89b8aa13aeab173a1cf813b021b6824bc30e60f5db6fa7b950b","","","","apt"
"bc937f6e958b339f6925023bc2af375d669084e9551fd3753e501ef26e36b39d","","","","apt"
