"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"102.130.114.246","","","",""
"103.75.118.231","136258","","",""
"147.135.204.64","6 | 16276","","",""
"167.114.194.56","6 | 16276 | 16276","","",""
"170.75.175.209","174","","tor","tor | reputation"
"185.176.221.64","39845","","",""
"185.238.3.76","","","",""
"185.86.148.144","52173 | 52173","","",""
"192.99.211.205","6 | 16276","","malware","reputation"
"195.123.228.14","59729","","",""
"195.123.242.250","","","",""
"212.80.216.172","","","",""
"45.8.126.7","","","",""
"5.149.252.171","201525","","",""
"94.44.166.189","21334","","",""
"95.169.190.29","31103","","",""
"95.217.16.248","24940 | 57166","","",""
"drm-server13-login-microsoftonline.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"en-gb-facebook.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"news-server-drm-google.com","","SDBbot","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"office365-eu-update.com",""," | SDBbot","僵尸木马主控端 |  | c2","apt | reputation | c2"
"office365-update-en.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"office365-update-eu.com","","SDBbot","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"static-google-analtyic.com","","SDBbot","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"update365-office-ens.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"windows-cnd-update.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"windows-fsd-update.com","","SDBbot","僵尸木马主控端 | 恶意软件","apt | reputation | c2"
"windows-me-update.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"windows-msd-update.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"windows-se-update.com","","SDBbot","僵尸木马主控端 | 木马","apt | reputation | c2"
"windows-sys-update.com","","SDBbot","僵尸木马主控端 | 木马","apt | reputation | c2"
"windows-update-sdfw.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"windows-wsus-en.com","","SDBbot","僵尸木马主控端 | c2","apt | reputation | c2"
"https://office365-eu-update.com/2023","","SDBbot","c2","apt"
"https://office365-update-en.com/frey","","SDBbot","malware | exe | geofenced | headerfenced | ta505 | get2 | c2","apt | reputation"
"https://office365-update-eu.com/frey","","SDBbot","malware | exe | geofenced | headersfenced | ta505 | get2 | 恶意软件","apt | reputation"
"https://update365-office-ens.com/rb8","","SDBbot","恶意软件","apt"
"https://windows-fsd-update.com/2020","","SDBbot","恶意软件","apt"
"https://windows-me-update.com/2021","","SDBbot","c2","apt"
"https://windows-msd-update.com/2019","","SDBbot","c2","apt"
"https://windows-se-update.com/2022","","SDBbot","恶意软件","apt"
"https://windows-sys-update.com/2021","","SDBbot","c2","apt"
"https://windows-update-sdfw.com/trase","","SDBbot","c2","apt"
"https://windows-wsus-en.com/version","","SDBbot","恶意软件","apt"
"0683d9f225d54d48081f53abd7d569b32bc153d98157a5a6b763bc3cf57a6ad6","","SDBbot","恶意软件","apt"
"133121ea82269ec943847e04cb070109ca94612aed23a471868937f119ae8175","","SDBbot","木马","apt | reputation"
"34f3733177bbe3d7a8d793fe3c4fd82759519ddc6545b608613c81af9019a52d","","SDBbot","c2","apt"
"4efcc22da094e876346cff9500e7894718c8b6402ff3735ea81a9e057d488849","","SDBbot","木马","apt | reputation"
"84f7c3fcf3a53f37ecbb21d0b9368d332901fe8c3f06b3d1a92123479c567c95","","SDBbot","木马","apt"
"8916a09f205910759edb082175bf2808d2acae00c7ded5bb8c9c174f60ebe152","","SDBbot","c2","apt"
"99c76d377e1e37f04f749034f2c2a6f33cb785adee76ac44edb4156b5cbbaa9a","","SDBbot","c2","apt"
"9eaad594dd8038fc8d608e0c4826244069a7a016ffd8881d8f42f643c972630f","","SDBbot","c2","apt"
"c2f99a2bba225fe3ab49cb952e418b2ab29ba7f2e34db6cf9bc51b0349d0acd8","","SDBbot","木马","apt"
"cfce53335bbe61de612353cdd83ce17953b1f230c576ed6de1463626aff9088e","","SDBbot","木马","apt"
"e3ec2aa04afecc6f43492bfe2e0d271045ab693abfa332a2c89a5115ffe77653","","SDBbot","c2","apt | reputation"
"edb838be33fde5878010ca84fc7765c8ff964af9e8387393f3fa7860c95fc70b","","SDBbot","恶意软件","apt"
"f27c5375046c734dfe62d2efe936b92cd519da091d04f22db713514caafece2a","","SDBbot","c2","apt"
"f4fed12625e2b983b918f239bf74623746cfc6b874717e6d8dd502a45e073d32","","SDBbot","恶意软件","apt | reputation"
