"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"104.44.143.28","8075","","","apt"
"13.58.123.122","16509","","","apt"
"144.217.32.24","6 | 16276","","","apt"
"191.235.99.13","8075","","","apt"
"191.239.122.4","8075","","","apt"
"40.70.86.161","8075","","","apt"
"45.132.242.89","","","","apt"
"51.143.39.80","8075","","","apt"
"51.222.39.127","","","","apt"
"51.222.39.128","","","","apt"
"51.81.104.17","","","","apt"
"52.91.227.152","14618","","","apt"
"54.233.78.131","16509","","","apt"
"54.39.33.188","6 | 16276","","","apt"
"66.70.237.175","6 | 16276","","","apt | reputation"
"87.98.137.173","6 | 16276","","","apt"
"http://191.235.99.13/lp1a.php","","","","apt"
"http://191.235.99.13/m/","","","","apt"
"https://kresna.co.id/sarikresnakimia/wp-content/!/www.edp.pt/?client=xxx","","","","apt"
"https://medeiros-boatworks.com/wp-content/!/https:/my.vodafone.pt/?client=xxx","","","","apt"
"https://publichealth.msu.ac.th/eng/wp-content/languages/--/my.vodafone.pt/?client=xxx","","","","apt"
"https://robyn-plombier-chauffagiste.fr/wp-admin/css/--/https:/www.policiajudiciaria.pt/?cliente=xxxx","","","","apt"
