"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"45.32.186.33","20473","","Shamoon","apt | reputation"
"104.218.120.128:69/checkFile.aspx","","","","apt"
"104.218.120.128/check.aspx","","","","apt"
"104.218.120.128/msservice-a-2.exe","","","","apt"
"104.218.120.128/msservice-a-4.exe","","","","apt"
"104.218.120.128/pro.bat","","","","apt"
"139.59.46.154:3485/eiloShaegae1","","","","apt | reputation"
"139.59.46.154/IMo8oosieVai","","","","apt"
"69.87.223.26:8080/eiloShaegae1","","","","apt"
"69.87.223.26:8080/p","","","","apt"
"69.87.223.26/IMo8oosieVai","","","","apt"
"analytics-google.org:69/check.aspx","","","","apt"
"analytics-google.org/checkFile.aspx","","","c2 | malware","apt | reputation | c2"
"go-microstf.com/checkFile.aspx","","","","apt"
"http://itworx.com-ho.me/*","","","","apt"
"http://mci.com-ho.me/*","","","","apt"
"http://moh.com-ho.me/*","","","","apt"
"http://mol.com-ho.me/*","","","","apt"
"http://ntg-sa.com/*","","","","apt"
"http://ntg-sa.com/cv_itworx.doc","","","","apt"
"http://ntg-sa.com/cv_mci.doc","","","","apt"
"http://ntg-sa.com/cv.doc","","","","apt"
"http://ntg-sa.com/discount_voucher_codes.xlsm","","","","apt"
"http://ntg-sa.com/Health_insurance_plan.doc","","","","apt"
"http://ntg-sa.com/Health_insurance_registration.doc","","","","apt"
"http://ntg-sa.com/job_titles_itworx.doc","","","","apt"
"http://ntg-sa.com/job_titles_mci.doc","","","","apt"
"http://ntg-sa.com/job_titles.doc","","","","apt"
"http://ntg-sa.com/Password_Policy.xlsm","","","","apt"
"https://ntg-sa.com/Downloads/Chrome_Update.exe","","","","apt"
"https://ntg-sa.com/downloads/citrix_certificate.exe","","","","apt"
"https://ntg-sa.com/Downloads/flashplayer23pp_xa_install.exe","","","","apt"
"jquerycode-download.live/check.aspx","","","","apt"
"jquerycode-download.live/checkFile.aspx","","","","apt"
"jquerycode-download.live/CheckLog.aspx","","","","apt"
"jquerycode-download.live/chrome_update.exe","","","","apt"
"jquerycode-download.live/citrixcertificate.exe","","","","apt"
"jquerycode-download.live/CitrixReceiver.exe","","","","apt"
"jquerycode-download.live/flashplayer23pp_xa_install.exe","","","","apt"
"mci.com-ho.me/cv_mci.doc","","","","apt"
"moh.com-ho.me/Health_insurance_plan.doc","","","","apt"
"moh.com-ho.me/Health_insurance_registration.doc","","","c2","apt | reputation | c2"
"mol.com-ho.me/cv_itworx.doc","","","c2","apt | reputation | c2"
"taqa.com.sa/arabic/images/certificate.crt.exe","","","","apt"
"taqa.com.sa/arabic/resumes/cv-taqa.doc","","","","apt"
"taqa.com.sa/arabic/resumes/resume.doc","","","","apt"
"taqa.com.sa/arabic/tempdn/cv-taqa.doc","","","","apt"
"03ea9457bf71d51d8109e737158be888","","","malware | Shamoon","apt | reputation"
"0ed61b6f1008000c6dfcd3d842b21971","","","","apt"
"19cea065aa033f5bcfa94a583ae59c08","","","malware | Shamoon","apt | reputation"
"1b5e33e5a244d2d67d7a09c4ccf16e56","","","malware | Shamoon","apt | reputation"
"3fb33a2747b39a9b1c5c1e41fade595e","","","","apt"
"43fad2d62bc23ffdc6d301571135222c","","","Shamoon","apt | reputation"
"444c93e736194a01bf3b319e3963d746","","","","apt"
"45b0e5a457222455384713905f886bd4","","","malware","apt | reputation"
"623e05dd58d86da76fdfcf9b57032168","","","","apt"
"638b74a712a7e45efc9bec126b0f2d87","","","","apt"
"6946836f2feb98d6e8021af6259a02dd","","","","apt"
"83be35956e5d409306a81e88a1dc89fd","","","","apt"
"9b1a06590b091d300781d8fbee180e75","","","malware","apt | reputation"
"b34fd14105be23480c44cfdf6eb26807","","","","apt"
"b8373f909fa228c2b6e7d69f065f30fb","","","","apt"
"bcafe408567557289003c79f745f7713","","","","apt"
"c2165155fcba5b737ee70354b5244be3","","","","apt"
"ce25f1597836c28cf415394fb350ae93","","","Shamoon","apt | reputation"
"d87663ce6a9fc0e8bc8180937b3566b9","","","","apt"
"ecfc0275c7a73a9c7775130ebca45b74","","","Shamoon","apt | reputation"
"edfc37461fa66716b53333fd7f841a8e","","","","apt"
"f4d18316e367a80e1005f38445421b1f","","","Shamoon","apt | reputation"
"f9adf73bf1cdd7cd278e5137d966ddd4","","","","apt"
"fa72c068361c05da65bf2117db76aaa8","","","Shamoon","apt | reputation"
