"情报数据","ASN","恶意软件家族","攻击行为","威胁情报"
"104.218.120.128","62731","","","apt"
"104.238.184.252","20473","","","apt"
"139.59.46.154","14061 | 14061 | 135340 | 135340","木马后门 | ","bruteforce | 僵尸木马主控端 | Shamoon | 木马 | ","apt | c2 | reputation"
"45.56.123.129","63949","","","apt"
"45.58.37.142","6364 | 13768","","","apt"
"45.76.128.165","20473","","Shamoon | ","apt | reputation"
"69.87.223.26","13768","","","apt"
"89.107.60.11","59764","","","apt"
"89.107.62.39","59764","木马后门 | ","僵尸木马主控端 | Shamoon | 木马 | ","apt | c2 | reputation"
"analytics-google.org",""," | MagicHound","c2 | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"microsoftexplorerservices.cloud",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"msservice.site",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"service.chrome-up.date",""," | MagicHound","c2 | phishing | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"service1.chrome-up.date",""," | MagicHound","c2 | phishing | 僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"servicesystem.serveirc.com",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"syn.timezone.live",""," | MagicHound"," | 恶意软件","apt"
"timezone.live",""," | MagicHound","僵尸木马主控端 |  | 恶意软件","apt | reputation | c2"
"www.microsoftsubsystem.com-adm.in",""," | MagicHound"," | 恶意软件","apt"
"www1.chrome-up.date",""," | MagicHound","c2 |  | 恶意软件","apt | reputation | c2"
"www3.chrome-up.date",""," | MagicHound","c2 |  | 恶意软件","apt | reputation | c2"
"www5.chrome-up.date",""," | MagicHound"," | 恶意软件","apt"
"www7.chrome-up.date",""," | MagicHound","c2 |  | 恶意软件","apt | reputation | c2"
"0d3ae682868cb3ff069ec52e1ffc5ef765453fd78e47b6366d96aebb09afd8ab",""," | MagicHound"," | 恶意软件","apt"
"133959be8313a372f7a8d95762722a6ca02bc30aaffde0cbcf6ba402426d02f5",""," | MagicHound"," | 恶意软件","apt"
"16d87fbd8667677da1af5433b6d797438f8dc0ab565fb40ecb29f83f148888cd",""," | MagicHound"," | 恶意软件","apt"
"1c3e527e496c4b0594a403d6d582bc6db3029d27369720d0d5122f862b10d8f1",""," | MagicHound"," | 恶意软件","apt"
"1c550dc73b7a39b0cd21d3de7e6c26ece156253ac96f032efc0e7fcc6bc872ce",""," | MagicHound"," | 恶意软件","apt"
"218fac3d0639c0d762fcf71685bcf6b64c33d1533df03b4cf223d9b07ca1e3c2",""," | MagicHound"," | 恶意软件","apt"
"29a659fb0ef0262e4de0dc3c6a140677b6ddee13c1819b791bd280be0547e309",""," | MagicHound"," | 恶意软件","apt"
"2f7f3582504fbce349a6991fbb3b5f9577c5c014b6ce889b80d51977fa6fb31a",""," | MagicHound"," | 恶意软件","apt"
"3161f9087d89a2d036ea32741d5a006c6bb279d36ff8d1acde63f2e354f8c502",""," | MagicHound"," | 恶意软件","apt"
"33ee8a57e142e752a9c8960c4f38b5d3ff82bf17ec060e4114f5b15d22aa902e",""," | MagicHound"," | 恶意软件","apt"
"388b26e22f75a723ce69ad820b61dd8b75e260d3c61d74ff21d2073c56ea565d",""," | MagicHound"," | 恶意软件","apt"
"3f23972a0e80983351bedf6ad45ac8cd63669d3f1c76f8834c129a9e0418fff1",""," | MagicHound"," | 恶意软件","apt"
"4beee6e7aa244335e161fdc05296ea100090c2114b4ff2e782e3ee3e1f936fdf",""," | MagicHound"," | 恶意软件","apt"
"528714aaaa4a083e72599c32c18aa146db503eee80da236b20aea11aa43bdf62",""," | MagicHound","Shamoon |  | 恶意软件","apt | reputation"
"5469facc266d5582bd387d69032a91c8fff373213b66a2f0852666e72bcdc1da",""," | MagicHound"," | 恶意软件","apt"
"5e0e09c9860b293c4c9a2382a7392963adc54d6a23440abb9a2d89c50f8fd305",""," | MagicHound"," | 恶意软件","apt"
"66d24a529308d8ab7b27ddd43a6c2db84107b831257efb664044ec4437f9487b",""," | MagicHound"," | 恶意软件","apt | reputation"
"68db2b363a88b061cc9063535f3920673f1f08d985b14cb52b898ced6c0f8964",""," | MagicHound"," | 恶意软件","apt"
"6a7537f2cedbf453114cfba086e4746e698713777fb4fa4fc8964247dde741ed",""," | MagicHound"," | 恶意软件","apt"
"6c195ea18c05bbf091f09873ed9cd533ec7c8de7a831b85690e48290b579634b",""," | MagicHound"," | 恶意软件","apt | reputation"
"6d1a50ca3e80442fa3e2caca86c166ed60bef32c2d0af7352cd227303cdec031",""," | MagicHound"," | 恶意软件","apt"
"71e584e7e1fb3cf2689f549192fe3a82fd4cd8ee7c42c15d736ebad47b028087",""," | MagicHound"," | 恶意软件","apt"
"79c9894b50cde62b182bd1560060c5c2bf5a1cef2b8afdffc4766e8c55ff6932",""," | MagicHound"," | 恶意软件","apt"
"7cdbf5c035a64cb6c7ee8c204ad42b4a507b1fde5e6708ea2486942d0d358823",""," | MagicHound"," | 恶意软件","apt"
"7e57e35f8fce0efc3b944a7545736fa419e9888514fcd9e098c883b8d85e7e73",""," | MagicHound"," | 恶意软件","apt"
"82779504d3fa0ffc8506ab69de9cb4d8f6415adbb11a9b8312828c539cf10190",""," | MagicHound"," | 恶意软件","apt"
"860f4cd44371a180a99bc16526f54f8b051c420a3df334d05d569d0cdadac3d2",""," | MagicHound"," | 恶意软件","apt"
"86d3409c908f667dd298b6a7e1e17652bb29af73e7daed4a5e945fbdf742e9f4",""," | MagicHound"," | 恶意软件","apt"
"8c2e4aa8d73ad2e48d70dfa18abea62769c7bef59c8c1607720f4f6162413f75",""," | MagicHound"," | 恶意软件","apt"
"92bc7d04445cf67aa7ddf15792cd62778d2d774d06616d1986f4c389b3d463f5",""," | MagicHound"," | 恶意软件","apt"
"97943739ccf8a00036dd3cdd0ba48e17a82ab9b65cc22c17c6e6258e72bb9ade",""," | MagicHound"," | 恶意软件","apt"
"9e4d2e983f8a807f741f8873e6fa5d222dc6f3b358ccfc3a6c700398b342f656",""," | MagicHound"," | 恶意软件","apt"
"a390365ddfcce146a8fa8435022f19b9a1be29f2b11a049cb660ec53f36beb06",""," | MagicHound"," | 恶意软件","apt"
"abe8e86b787998a07411ee24f3f3d8a79e37c6da539650ceed566b081f968c26",""," | MagicHound"," | 恶意软件","apt"
"af0ae0fa877f921d198239b7c722e12d14b2aa32fdfadaa37b47f558ae366de9",""," | MagicHound"," | 恶意软件","apt"
"b2ea3fcd2bc493a5ac86e47029b076716ed22ef4487f9090f4aa1923a48015d6",""," | MagicHound"," | 恶意软件","apt"
"b42b1186211633c2d47f3d815f0371ba234fee2ed0f26e487badc58e1ab81061",""," | MagicHound"," | 恶意软件","apt"
"b6c159cad5a867895fd41c103455cebd361fc32d047b573321280b1451bf151c",""," | MagicHound"," | 恶意软件","apt"
"ba3560d3c789984ca29d80f0a2ea38a224e776087e0f28104569630f870adaf4",""," | MagicHound"," | 恶意软件","apt"
"c21074f340665935e6afe2a972c8d1ab517954e2dd05cc73e5ff0e8df587b99d",""," | MagicHound"," | 恶意软件","apt"
"c3a8f5176351e87d28f45e58c79bb6646bb5d94ade7a24c6556514c860004143",""," | MagicHound"," | 恶意软件","apt"
"ca6e823dedd6ca5fada2b1fa63d0acb288027f5a3cdd2c60dcace3c424c5ced0",""," | MagicHound"," | 恶意软件","apt"
"cfce4827106c79a81eef6d3a0618c90bf5f15936036873573db76bed7e8a0864",""," | MagicHound"," | 恶意软件","apt"
